MenuID;OptionID;Locale;OptionText;BoxText
342;3;ruRU;Позвольте мне просмотреть ваши товары.;
344;0;ruRU;Сделайте эту гостиницу своим домом.;
344;2;ruRU;Кошелек или жизнь!;
344;3;ruRU;Позвольте мне просмотреть ваши товары.;
345;0;ruRU;Кошелек или жизнь!;
345;2;ruRU;Сделайте эту гостиницу своим домом.;
345;3;ruRU;Позвольте мне просмотреть ваши товары.;
347;2;ruRU;Сделайте эту гостиницу своим домом.;
347;3;ruRU;Позвольте мне просмотреть ваши товары.;
347;0;ruRU;Кошелек или жизнь!;
348;0;ruRU;Сделайте эту гостиницу своим домом.;
348;1;ruRU;Позвольте мне просмотреть ваши товары.;
348;2;ruRU;Кошелек или жизнь!;
349;0;ruRU;Кошелек или жизнь!;
349;2;ruRU;Сделайте эту гостиницу своим домом.;
349;3;ruRU;Я хочу просмотреть ваши товары.;
381;0;ruRU;Мне нужно обучение, Керин.;
381;1;ruRU;Я хочу разучить свои таланты.;
381;2;ruRU;Я хочу знать о двойной специализации талантов.;
381;4;ruRU;<Возьми письмо>;
401;0;ruRU;Друид;
401;1;ruRU;Охотник;
401;2;ruRU;Маг;
401;3;ruRU;Паладин;
401;4;ruRU;Священник;
401;5;ruRU;Негодяй;
401;6;ruRU;Шаман;
401;7;ruRU;Чернокнижник;
401;8;ruRU;Воин;
410;0;ruRU;Я хотел бы тренироваться.;
410;1;ruRU;Я хочу разучить свои таланты.;
410;2;ruRU;Я хочу знать о двойной специализации талантов.;
410;4;ruRU;<Возьми письмо>;
411;0;ruRU;Добрый день, Халфдан, ищу обучение.;
411;1;ruRU;Я хочу разучить свои таланты.;
411;2;ruRU;Я хочу знать о двойной специализации талантов.;
411;4;ruRU;<Возьми письмо>;
421;0;ruRU;Алхимия;
421;1;ruRU;Кузнечное дело;
421;2;ruRU;приготовление еды;
421;3;ruRU;Чары;
421;4;ruRU;Инжиниринг;
421;5;ruRU;Первая помощь;
421;6;ruRU;Ловит рыбу;
421;7;ruRU;Травничество;
421;8;ruRU;Надпись;
421;9;ruRU;Кожевничество;
421;10;ruRU;Добыча;
421;11;ruRU;Скиннинг;
421;12;ruRU;Портняжное дело;
435;0;ruRU;Аукционный дом;
435;1;ruRU;Банк Штормграда;
435;2;ruRU;Гавань Штормграда;
435;3;ruRU;Глубинный трамвай;
435;4;ruRU;гостиница;
435;5;ruRU;Мастер грифонов;
435;6;ruRU;Мастер гильдии;
435;7;ruRU;Слесарь;
435;8;ruRU;Стабильный мастер;
435;9;ruRU;Тренер по оружию;
435;10;ruRU;Офицерская гостиная;
435;11;ruRU;Военачальник;
435;12;ruRU;Парикмахерская;
435;14;ruRU;Тренер класса;
435;15;ruRU;Тренер по профессии;
436;0;ruRU;Привет! Я разбойник, нуждающийся в обучении.;
436;1;ruRU;Я хочу разучить свои таланты.;
436;2;ruRU;Я хочу знать о двойной специализации талантов.;
436;4;ruRU;<Возьми письмо>;
441;0;ruRU;Кошелек или жизнь!;
441;2;ruRU;Сделайте эту гостиницу своим домом.;
441;4;ruRU;Позвольте мне просмотреть ваши товары.;
445;0;ruRU;Не подскажете, где Рассол?;
523;0;ruRU;Мне нужна боевая подготовка.;
523;1;ruRU;Я хочу разучить свои таланты.;
523;2;ruRU;Я хочу знать о двойной специализации талантов.;
524;0;ruRU;Нажмите красную кнопку с надписью «ECAC».;
524;1;ruRU;Нажмите желтую кнопку с надписью «Инструменты воров».;
561;0;ruRU;Что такое «матрица подземного существа»?;
562;0;ruRU;Кто такие Земляне?;
563;0;ruRU;О каких аномалиях вы говорите?;
564;0;ruRU;Что такое «устойчивый фундамент строительства»?;
565;0;ruRU;Значит... Земляне были сделаны из камня?;
566;0;ruRU;Что еще я должен знать о Землянах?;
567;0;ruRU;Я думаю, что теперь я понимаю замысел Создателей в отношении Землян. О каких аномалиях землян вы говорили ранее?;
568;0;ruRU;Какая среда с высоким уровнем стресса может привести к дестабилизации Землян?;
569;0;ruRU;Что происходит, когда земляне дестабилизируются?;
570;0;ruRU;Троггс?! Упомянутые вами троггы такие же, как те, что существуют в современном мире?;
571;0;ruRU;Вы упомянули два результата, когда земляне дестабилизируются. Что второе?;
572;0;ruRU;Гномы!!! Теперь вы говорите мне, что гномы произошли от землян?!;
573;0;ruRU;Эти дварфы сегодня такие же, да? Поддерживают ли дварфы какие-либо другие связи с землянами?;
574;0;ruRU;Кто такие Творцы?;
575;0;ruRU;Об этом нужно много думать.;
576;0;ruRU;Я сейчас получу доступ к дискам.;
581;0;ruRU;Обучите меня.;
590;0;ruRU;Можете ли вы дать мне направление?;
592;0;ruRU;Можете ли вы дать мне направление?;
593;0;ruRU;Обучите меня.;
593;1;ruRU;Расскажите мне больше о ковке доспехов.;
593;2;ruRU;Расскажите мне больше о кузнечном оружии.;
597;0;ruRU;Обучите меня.;
597;1;ruRU;Я хочу разучиться кузнечному делу!;
643;0;ruRU;Обучите меня.;
645;0;ruRU;Обучите меня.;
646;0;ruRU;Обучите меня.;
648;0;ruRU;Обучите меня.;
655;0;ruRU;Мне нужна боевая подготовка.;
655;1;ruRU;Я хочу разучить свои таланты.;
655;2;ruRU;Я хочу знать о двойной специализации талантов.;
656;0;ruRU;Мне нужна боевая подготовка.;
656;1;ruRU;Я хочу разучить свои таланты.;
656;2;ruRU;Я хочу знать о двойной специализации талантов.;
657;0;ruRU;Обучите меня.;
660;0;ruRU;Обучите меня.;
681;0;ruRU;Я хочу просмотреть ваши товары.;
682;0;ruRU;Я хочу просмотреть ваши товары.;
683;0;ruRU;Я хочу просмотреть ваши товары.;
684;0;ruRU;Я хочу просмотреть ваши товары.;
685;0;ruRU;Я хочу просмотреть ваши товары.;
686;0;ruRU;Я хочу просмотреть ваши товары.;
687;0;ruRU;Я хочу просмотреть ваши товары.;
688;0;ruRU;Я хочу просмотреть ваши товары.;
689;0;ruRU;Я хочу просмотреть ваши товары.;
690;0;ruRU;Я хочу просмотреть ваши товары.;
691;0;ruRU;Я хочу просмотреть ваши товары.;
692;0;ruRU;Я хочу просмотреть ваши товары.;
693;0;ruRU;Я хочу просмотреть ваши товары.;
698;0;ruRU;Я хочу просмотреть ваши товары.;
699;0;ruRU;Я хотел бы проверить свою депозитную ячейку.;
700;0;ruRU;Я хочу просмотреть ваши товары.;
701;0;ruRU;Я хочу просмотреть ваши товары.;
702;0;ruRU;Я хочу просмотреть ваши товары.;
703;0;ruRU;Я хочу просмотреть ваши товары.;
704;0;ruRU;Мне нужна поездка.;
705;0;ruRU;Я хочу просмотреть ваши товары.;
706;0;ruRU;Я хочу просмотреть ваши товары.;
721;0;ruRU;Банк;
721;1;ruRU;Мастер ветрокрылов;
721;2;ruRU;Мастер гильдии;
721;3;ruRU;гостиница;
721;4;ruRU;Почтовый ящик;
721;5;ruRU;Аукционный дом;
721;6;ruRU;Мастер оружия;
721;7;ruRU;Стабильный мастер;
721;8;ruRU;Военачальник;
721;9;ruRU;Тренер класса;
721;10;ruRU;Тренер по профессии;
721;12;ruRU;Мастер цеппелина;
740;0;ruRU;Друид;
740;1;ruRU;Охотник;
740;2;ruRU;Маг;
740;3;ruRU;Священник;
740;4;ruRU;Шаман;
740;5;ruRU;Воин;
751;0;ruRU;Алхимия;
751;1;ruRU;Кузнечное дело;
751;2;ruRU;приготовление еды;
751;3;ruRU;Чары;
751;4;ruRU;Первая помощь;
751;5;ruRU;Ловит рыбу;
751;6;ruRU;Травничество;
751;7;ruRU;Надпись;
751;8;ruRU;Кожевничество;
751;9;ruRU;Добыча;
751;10;ruRU;Скиннинг;
751;11;ruRU;Портняжное дело;
840;0;ruRU;Почему ты здесь?;
840;1;ruRU;Пожалуйста, продолжай, Герой...;
840;2;ruRU;Герой, у меня срочное дело к капралу Раздвоенное Копыто.;
840;3;ruRU;Я уничтожил свое азшаритское оружие! Мне нужна твоя помощь, чтобы победить триаду силы.;
841;0;ruRU;Продолжайте свой рассказ.;
842;0;ruRU;Трагический...;
880;0;ruRU;Что может быть хуже смерти?;
881;0;ruRU;Мне нужно.;
882;0;ruRU;Ты можешь рассчитывать на меня, Герой.;
883;0;ruRU;Что такое связующие камни?;
884;0;ruRU;Подчиненные?;
900;0;ruRU;Я хотел бы купить у вас.;
922;0;ruRU;Я хотел бы просмотреть ваши товары.;
922;1;ruRU;Видели какие-нибудь странные вещи в пустыне в последнее время?;
942;0;ruRU;Расскажите, пожалуйста, о гиппогрифах.;
942;1;ruRU;Пожалуйста, расскажите мне больше об ограх Гордунни.;
980;0;ruRU;Привет, Совик, я хочу просмотреть ваши товары.;
1012;0;ruRU;Обучите меня.;
1017;0;ruRU;Обучите меня.;
1022;0;ruRU;Обучите меня.;
1043;0;ruRU;Обучите меня.;
1045;0;ruRU;Получить карту доступа более высокого уровня;
1047;0;ruRU;Получить карту доступа более высокого уровня;
1047;1;ruRU;Доступ: Малый рекомбинатор;
1049;0;ruRU;Получить карту доступа более высокого уровня;
1050;0;ruRU;Получить карту данных высокого уровня.;
1050;1;ruRU;Используйте технику, чтобы получить доступ к скрытым схемам!;
1080;0;ruRU;Я готов начать.;
1120;0;ruRU;Я хотел бы купить у вас.;
1141;0;ruRU;Расскажите мне больше о muisek.;
1142;0;ruRU;Расскажи мне больше, Трентон.;
1161;0;ruRU;Что вы слышали о Shady Rest Inn?;
1186;0;ruRU;Горящая гостиница.;
1186;1;ruRU;Павел Рит.;
1201;0;ruRU;Что самое худшее, что может случиться?;
1202;0;ruRU;Другой путь? Скажи...;
1203;0;ruRU;Орки? Бесплодные земли? Я неуязвим!;
1204;0;ruRU;Абсолютно!;
1205;0;ruRU;Прошу прощения, Пебблбитти.;
1206;0;ruRU;Сделано, сделано и сделано.;
1212;0;ruRU;Ты поможешь?;
1213;0;ruRU;Продолжайте, пожалуйста.;
1214;0;ruRU;Я не понимаю.;
1215;0;ruRU;Верно.;
1216;0;ruRU;Я сделаю это с твоей помощью или без нее, Лорамус.;
1217;0;ruRU;Да.;
1262;0;ruRU;Я хотел бы купить у вас.;
1282;0;ruRU;Коснитесь камня Сунтара и призовите Латорика Черного и его стража Обсидиона.;
1285;0;ruRU;Я хочу услышать твой рассказ.;
1286;0;ruRU;Дай мне подумать об этом, Замаэль.;
1287;0;ruRU;Пожалуйста, продолжай, Замаэль.;
1288;0;ruRU;Как могли быть связаны алтарь и статуи?;
1290;0;ruRU;Кошелек или жизнь!;
1290;2;ruRU;Сделайте эту гостиницу своим домом.;
1290;3;ruRU;Что я могу делать в гостинице?;
1290;4;ruRU;Я хочу просмотреть ваши товары.;
1291;0;ruRU;Кошелек или жизнь!;
1291;1;ruRU;Сделайте эту гостиницу своим домом.;
1291;2;ruRU;Что я могу делать в гостинице?;
1291;3;ruRU;Я хочу просмотреть ваши товары.;
1293;0;ruRU;Кошелек или жизнь!;
1293;1;ruRU;Сделай эту гостиницу моим домом!;
1293;2;ruRU;Я хочу просмотреть ваши товары!;
1294;0;ruRU;Кошелек или жизнь!;
1294;1;ruRU;Сделайте эту гостиницу своим домом.;
1294;2;ruRU;Что я могу делать в гостинице?;
1294;3;ruRU;Я хочу просмотреть ваши товары.;
1296;0;ruRU;Кошелек или жизнь!;
1296;1;ruRU;Сделайте эту гостиницу своим домом.;
1296;2;ruRU;Позвольте мне просмотреть ваши товары.;
1296;3;ruRU;Что я могу делать в гостинице?;
1297;0;ruRU;Кошелек или жизнь!;
1297;1;ruRU;Сделайте эту гостиницу своим домом.;
1297;2;ruRU;Позвольте мне просмотреть ваши товары.;
1297;3;ruRU;Что я могу делать в гостинице?;
1301;0;ruRU;Я хочу просмотреть ваши товары.;
1321;0;ruRU;Позвольте мне посоветоваться с моими коллегами.;
1322;0;ruRU;Пожалуйста, продолжайте.;
1323;0;ruRU;Скажи мне, что движет этой местью?;
1323;2;ruRU;Каларан, я потерял свой факел. Я требую другого.;
1323;3;ruRU;Каларан, пожалуйста, зачаруй факел.;
1341;0;ruRU;Что такой эльф, как ты, делает в такой пещере?;
1341;1;ruRU;Ты знаешь кого-нибудь... или, вернее, кого-то по имени Эраникус?;
1364;0;ruRU;Я подумаю над тем, что вы мне сказали.;
1365;0;ruRU;Я обладаю частью сущности Эраникуса. Чего ты хочешь от него... или от меня?;
1366;0;ruRU;Что с ним случилось в первую очередь? Когда я... столкнулся с ним, он был довольно злобным.;
1403;0;ruRU;Я ищу обучение на друида.;
1403;1;ruRU;Я хочу разучить свои таланты.;
1403;2;ruRU;Я хочу знать о двойной специализации талантов.;
1403;3;ruRU;Я хотел бы купить больше семян Тарлендриса.;
1422;0;ruRU;Поможешь мне спуститься?;
1443;0;ruRU;Ты можешь готовить? Я тоже могу! Есть рецепт, которому ты можешь меня научить?;
1443;1;ruRU;Вы алхимик? Я тоже. Возможно, ты сможешь научить меня тому, что знаешь сам...;
1443;2;ruRU;Ты можешь готовить? Я тоже могу! Есть рецепт, которому ты можешь меня научить?;
1443;3;ruRU;Вы алхимик? Я тоже. Возможно, ты сможешь научить меня тому, что знаешь сам...;
1470;0;ruRU;Да. Дайте мне заклинание для вызова аватара.;
1482;0;ruRU;Расскажите мне больше об этих гиппогрифах.;
1503;0;ruRU;Меня интересует обучение чернокнижника.;
1503;1;ruRU;Я хочу разучить свои таланты.;
1503;2;ruRU;Узнайте о двойной специализации талантов.;
1522;0;ruRU;Меня интересует обучение чернокнижника.;
1522;1;ruRU;Я хочу разучить свои таланты.;
1522;2;ruRU;Узнайте о двойной специализации талантов.;
1541;0;ruRU;Я хочу встретиться с Осквернителем.;
1561;0;ruRU;Я готов, историк Архесонус.;
1562;0;ruRU;Невероятный! Как они смеют??;
1563;0;ruRU;Конечно помогу!;
1564;0;ruRU;Интересно, продолжайте, пожалуйста.;
1565;0;ruRU;Это трагично. Как это случилось?;
1581;0;ruRU;Кошелек или жизнь!;
1581;2;ruRU;Сделайте эту гостиницу своим домом.;
1581;3;ruRU;Я хочу просмотреть ваши товары.;
1582;2;ruRU;Сделайте эту гостиницу своим домом.;
1582;3;ruRU;Я хочу просмотреть ваши товары.;
1623;0;ruRU;Я хотел бы проверить свою депозитную ячейку.;
1624;0;ruRU;Я хочу просмотреть ваши товары.;
1628;0;ruRU;Я потерял свой транспондер, и мне нужен еще один, Скути.;
1630;0;ruRU;Я не подмастерье-травник — могу ли я по-прежнему помогать вам в вашей работе?;
1662;0;ruRU;Что ты здесь делаешь?;
1663;0;ruRU;Удивительно! Я никогда не разговаривал с призраком. Я желаю учиться!;
1664;0;ruRU;Пожалуйста, продолжайте.;
1665;0;ruRU;Очаровательный. Пожалуйста, расскажите мне больше.;
1666;0;ruRU;Просто покажи мне дорогу, Франклорн.;
1721;0;ruRU;Я хочу просмотреть ваши товары.;
1781;0;ruRU;Я хотел бы увидеть, что вы должны продать.;
1801;0;ruRU;Как я могу получить Evoroot?;
1802;0;ruRU;Не подскажете, как мне получить эликсир Видере?;
1802;1;ruRU;Купи что-нибудь, а?;
1822;0;ruRU;Не все потеряно, Харан!;
1822;1;ruRU;Я здесь не для того, чтобы навредить тебе, Харан. Меня прислал Гор'шак. Он сказал мне, что ты поговоришь со мной о принцессе.;
1823;0;ruRU;Дверь открыта, Харан. Вы свободный человек.;
1824;0;ruRU;Верно.;
1825;0;ruRU;Продолжите свой рассказ, пожалуйста.;
1826;0;ruRU;Так вы подозреваете, что кто-то внутри был замешан? Что их предупредили?;
1827;0;ruRU;Так что же случилось?;
1828;1;ruRU;Продолжать...;
1831;0;ruRU;Не все потеряно, Харан!;
1832;0;ruRU;Потому что ты еще жив, и мои руки не сжимают крепко твою коротенькую шею.;
1833;0;ruRU;Ничего такого. Мне было приказано поговорить с тобой, а потом с Траллом. Все, что я знаю, это то, что Тралл заинтересован в спасении вашей принцессы.;
1834;0;ruRU;Что объясняет, почему ты сидишь в тюремной камере у подножия горы, верно, дварф?;
1835;0;ruRU;Так что же случилось?;
1836;0;ruRU;Так вы подозреваете, что кто-то внутри был замешан? Что их предупредили?;
1837;0;ruRU;Продолжите свой рассказ, пожалуйста.;
1838;0;ruRU;Верно.;
1839;0;ruRU;Если тебя это утешит, я оставлю дверь камеры открытой. Как вы выйдете - ваша проблема. До свидания, Харан.;
1842;1;ruRU;У меня нет доказательств, Сайрус.;
1842;0;ruRU;Представляю тебе доказательство моих деяний, Сайрус.;
1843;0;ruRU;Я готов!;
1882;0;ruRU;Где Полководец Кром'зар?;
1922;0;ruRU;Я хотел бы купить больше семян Тарлендриса.;
1942;0;ruRU;Алхимия;
1942;1;ruRU;Кузнечное дело;
1942;2;ruRU;приготовление еды;
1942;3;ruRU;Чары;
1942;4;ruRU;Инжиниринг;
1942;5;ruRU;Первая помощь;
1942;6;ruRU;Ловит рыбу;
1942;7;ruRU;Травничество;
1942;8;ruRU;Надпись;
1942;9;ruRU;Кожевничество;
1942;10;ruRU;Добыча;
1942;11;ruRU;Скиннинг;
1942;12;ruRU;Портняжное дело;
1945;0;ruRU;Я заплатил твою цену, Мрак'рел. А теперь научи меня своим секретам!;
1945;1;ruRU;Мрак'рел, расскажи мне свои секреты!;
1947;0;ruRU;Твоему рабству пришел конец, Дум'рел. Я бросаю вам вызов!;
1949;0;ruRU;Охотник;
1949;1;ruRU;Маг;
1949;2;ruRU;Священник;
1949;3;ruRU;Шаман;
1949;4;ruRU;Негодяй;
1949;5;ruRU;Чернокнижник;
1949;6;ruRU;Воин;
1949;7;ruRU;Паладин;
1951;0;ruRU;Банк;
1951;1;ruRU;Мастер ветрокрылов;
1951;2;ruRU;Мастер гильдии;
1951;3;ruRU;гостиница;
1951;4;ruRU;Почтовый ящик;
1951;5;ruRU;Аукционный дом;
1951;6;ruRU;Мастер цеппелина;
1951;7;ruRU;Мастер оружия;
1951;8;ruRU;Стабильный мастер;
1951;9;ruRU;Офицерская гостиная;
1951;10;ruRU;Военачальник;
1951;11;ruRU;Парикмахерская;
1951;12;ruRU;Тренер класса;
1951;13;ruRU;Тренер по профессии;
1951;14;ruRU;Лексикон силы;
1970;0;ruRU;Ты ни на что не годен, Риббли. Пришло время заплатить за вашу злобу!.;
2021;0;ruRU;Я хотел бы обучиться кулинарии.;
2061;0;ruRU;Дои меня, Джон.;
2062;0;ruRU;Сделай это... Сделай это сейчас.;
2076;0;ruRU;Почему бы вам и Рокноту не найти уединенное место...;
2081;0;ruRU;У вас есть мифриловые оболочки?;
2121;0;ruRU;Аукционный дом;
2121;1;ruRU;Банк Стальгорна;
2121;2;ruRU;Глубинный трамвай;
2121;3;ruRU;Мастер грифонов;
2121;4;ruRU;Мастер гильдии;
2121;5;ruRU;гостиница;
2121;6;ruRU;Почтовый ящик;
2121;7;ruRU;Стабильный мастер;
2121;8;ruRU;Тренер по оружию;
2121;9;ruRU;Военачальник;
2121;10;ruRU;Парикмахерская;
2121;11;ruRU;Тренер класса;
2121;12;ruRU;Тренер по профессии;
2144;0;ruRU;Охотник;
2144;1;ruRU;Маг;
2144;2;ruRU;Паладин;
2144;3;ruRU;Священник;
2144;4;ruRU;Негодяй;
2144;5;ruRU;Чернокнижник;
2144;6;ruRU;Воин;
2144;7;ruRU;Шаман;
2168;0;ruRU;Алхимия;
2168;1;ruRU;Кузнечное дело;
2168;2;ruRU;приготовление еды;
2168;3;ruRU;Чары;
2168;4;ruRU;Инжиниринг;
2168;5;ruRU;Первая помощь;
2168;6;ruRU;Ловит рыбу;
2168;7;ruRU;Травничество;
2168;8;ruRU;Надпись;
2168;9;ruRU;Кожевничество;
2168;10;ruRU;Добыча;
2168;11;ruRU;Скиннинг;
2168;12;ruRU;Портняжное дело;
2177;0;ruRU;Я хочу осмотреть этот пилон.;
2178;0;ruRU;Я хочу осмотреть этот пилон.;
2179;0;ruRU;Я хочу осмотреть этот пилон.;
2184;0;ruRU;Расскажите мне больше о Восточном Хрустальном Пилоне.;
2184;1;ruRU;Расскажите мне больше о Северном Хрустальном Пилоне.;
2184;2;ruRU;Расскажите мне больше о Западном Хрустальном Пилоне.;
2184;3;ruRU;Я потерял руководство пользователя Crystal Pylon, и мне нужно другое.;
2187;0;ruRU;Расшифруйте табличку.;
2188;0;ruRU;Кто этот Лар'корви, о котором ты говорил?;
2189;0;ruRU;Где находится Кратер Ун'Горо?;
2208;0;ruRU;Мне нужен маяк Кенария.;
2208;1;ruRU;Какие растения в Оскверненном лесу могут быть заражены?;
2299;0;ruRU;Представляю вам Весы Размышлений.;
2300;0;ruRU;Представляю вам Весы Конституции.;
2301;0;ruRU;Представляю вам Весы Упорства.;
2302;0;ruRU;Представляю вам Весы Стойкости.;
2303;0;ruRU;Представляю вам Весы Прожорливости.;
2304;0;ruRU;Я хотел бы продолжить обучение путям Света.;
2304;1;ruRU;Я хочу разучить свои таланты.;
2304;2;ruRU;Я хочу знать о двойной специализации талантов.;
2306;0;ruRU;Мне нужна помощь в победе над браконьерами из теневого шелка.;
2343;0;ruRU;Друид;
2343;1;ruRU;Охотник;
2343;2;ruRU;Маг;
2343;3;ruRU;Паладин;
2343;4;ruRU;Священник;
2343;5;ruRU;Негодяй;
2343;6;ruRU;Воин;
2351;0;ruRU;Алхимия;
2351;1;ruRU;приготовление еды;
2351;2;ruRU;Чары;
2351;3;ruRU;Первая помощь;
2351;4;ruRU;Ловит рыбу;
2351;5;ruRU;Травничество;
2351;6;ruRU;Надпись;
2351;7;ruRU;Кожевничество;
2351;8;ruRU;Скиннинг;
2351;9;ruRU;Портняжное дело;
2352;0;ruRU;Аукционный дом;
2352;1;ruRU;Банк;
2352;2;ruRU;Мастер гиппогрифов;
2352;3;ruRU;Мастер гильдии;
2352;4;ruRU;гостиница;
2352;5;ruRU;Почтовый ящик;
2352;6;ruRU;Стабильный мастер;
2352;7;ruRU;Тренер по оружию;
2352;8;ruRU;Военачальник;
2352;9;ruRU;Тренер класса;
2352;10;ruRU;Тренер по профессии;
2352;11;ruRU;Лексикон силы;
2381;0;ruRU;Меня интересует обучение чернокнижника.;
2381;1;ruRU;Я хочу разучить свои таланты.;
2381;2;ruRU;Узнайте о двойной специализации талантов.;
2383;0;ruRU;Меня интересует обучение чернокнижника.;
2383;1;ruRU;Я хочу разучить свои таланты.;
2383;2;ruRU;Узнайте о двойной специализации талантов.;
2384;0;ruRU;Меня интересует обучение чернокнижника.;
2384;1;ruRU;Я хочу разучить свои таланты.;
2384;2;ruRU;Узнайте о двойной специализации талантов.;
2404;0;ruRU;Я хотел бы проверить свою депозитную ячейку.;
2405;0;ruRU;Есть ли разница между слизью и слизью?;
2406;0;ruRU;Что вы подразумеваете под "чистым"?;
2407;0;ruRU;Есть ли какие-то области, которые, по вашему мнению, остались бы такими нетронутыми?;
2422;0;ruRU;Что вы думаете о Даданге?;
2465;0;ruRU;Леди Джайна, это может показаться странной просьбой... но у меня есть юная подопечная, которая очень застенчива. Ты для него герой, и он попросил меня дать тебе автограф.;
2562;1;ruRU;Губбер, я не умею ловить рыбу.;
2562;2;ruRU;Габбер, у меня нет удочки.;
2685;1;ruRU;Я хочу просмотреть ваши товары.;
2703;0;ruRU;Как использовать Тайник Мау'ари?;
2703;1;ruRU;Что такое Эко?;
2703;2;ruRU;Я бы хотел, чтобы вы сделали мне новый Тайник Мауари, пожалуйста.;
2744;0;ruRU;Обучите меня.;
2746;0;ruRU;Обучите меня.;
2781;0;ruRU;Обучите меня.;
2783;0;ruRU;Обучите меня.;
2831;0;ruRU;Сделайте эту гостиницу своим домом.;
2831;1;ruRU;Позвольте мне просмотреть ваши товары.;
2871;0;ruRU;Осматриваю тело дальше.;
2884;0;ruRU;Какие роли?;
2885;0;ruRU;Мечты?;
2886;0;ruRU;Я молюсь о таких вещах.;
2887;0;ruRU;Я не заслуживаю такой похвалы, полководец Кровозуб.;
2888;0;ruRU;Сэр! Пока мое тело не перестанет функционировать!;
2889;0;ruRU;Да сэр. Спасибо, сэр!;
2890;1;ruRU;Сделайте эту гостиницу своим домом.;
2890;5;ruRU;Я хочу просмотреть ваши товары.;
2901;0;ruRU;Привет, Эйтригг. Я принес новости из Пика Черной горы.;
2902;0;ruRU;Есть только один вождь, Эйтригг!;
2903;0;ruRU;Что ты имеешь в виду?;
2904;0;ruRU;Дольный очаг?? Но...;
2905;0;ruRU;Я приму твое предложение, Эйтригг.;
2906;0;ruRU;Ах, так вот как они вытеснили Черное Железо в нижние части Шпиля.;
2907;0;ruRU;Возможно, есть способ?;
2908;0;ruRU;Как пожелаешь, Эйтригг.;
2951;0;ruRU;Как, черт возьми, ты туда попал?;
2952;0;ruRU;Я хотел бы купить у вас.;
2984;0;ruRU;Расскажи мне о шкуре.;
2985;2;ruRU;Глава о бальзамирующей жидкости Ледяного Шепота.;
2985;1;ruRU;Глава о Зачарованной Алой Нити.;
2985;0;ruRU;Глава о потрепанных швах мерзости.;
2985;3;ruRU;Глава о чародейских кристаллах и арканите.;
2985;4;ruRU;Глава о коже тени.;
2991;0;ruRU;Каковы шансы получить такую шкуру?;
2992;0;ruRU;Итак, давайте представим, что я получил эту шкуру, что еще вам нужно и что вы могли бы сделать?;
2993;0;ruRU;Ok!;
2994;0;ruRU;Я весь во внимании.;
2995;0;ruRU;Просто дай мне понять это правильно. Ты плавал, нет, делал гребки на спине в расплавленной лаве в этом... в этом твоем лавовом костюме? Да? И откуда ни возьмись, этот вот зверь проглотил тебя целиком?;
