"ID","Text0_0","Text0_1","Text1_0","Text1_1","Text2_0","Text2_1","Text3_0","Text3_1","Text4_0","Text4_1","Text5_0","Text5_1","Text6_0","Text6_1","Text7_0","Text7_1","Locale"
"780","Правду говорят: дуракам везет, иначе эти гоблины разбивали бы свои машины в каждой гонке!","Правду говорят: дуракам везет, иначе эти гоблины разбивали бы свои машины в каждой гонке!","Эти гонки дают отличную возможность продемонстрировать нашу изобретательность!","Эти гонки дают отличную возможность продемонстрировать нашу изобретательность!","Я усовершенствовал матричный регулометр нашей машины. Теперь ее скорость должна возрасти как минимум в пятнадцать раз!","Я усовершенствовала матричный регулометр нашей машины. Теперь ее скорость должна возрасти как минимум в пятнадцать раз!","Да мой сын может собрать машину лучше, чем рухлядь этого гоблина!","Да мой сын может собрать машину лучше, чем рухлядь этого гоблина!","Мой технологический альманахотрон говорит, что мы выиграем у гоблинов на двадцать секунд больше, чем в прошлый раз!","Мой технологический альманахотрон говорит, что мы выиграем у гоблинов на двадцать секунд больше, чем в прошлый раз!",NULL,NULL,NULL,NULL,NULL,NULL,"ruRU"
"781","Тирт в последнее время сам не свой, и его помощник тоже.","Тирт в последнее время сам не свой, и его помощник тоже.","Джонсон? Я думаю, он где-то здесь…","Джонсон? Я думаю, он где-то здесь…","""Смелый""? Я думаю, что распорядитель гонок Гореездник наверху, в башне, знает, где он.","""Смелый""? Я думаю, что распорядитель гонок Гореездник наверху, в башне, знает, где он.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ruRU"
"798","Наконец-то! Я освобожден из этой темницы!$b$bМаги Кирин-Тора послали меня из Даларана, чтобы выяснить, как у Аругала продвигается дело с нежитью здесь, в Серебряном бору. Как мы могли знать, что волшебник утратил разум?$b$bМне нужно немедленно доложить об этом беспорядке! Но прежде чем я уйду, позволь мне вскрыть заколдованный замок калитки, ведущей во внутренний двор.$b$bРаз ты $gпобедил:победила; Ретилгора, то, должно быть, переживешь и то, что за ней…",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ruRU"
"799","Наконец-то! Кто-то пришел освободить меня из этой камеры!$b$bВерховный палач Хадрик послал нас собирать сведения о крепости, чтобы можно было создать план для окончательной победы над Аругалом.$b$bНо у старого волшебника припрятана куча трюков, так что нас обнаружил волшебный кристалл-хранитель. Меня бросили в эту тюрьму. Винсенту повезло меньше.$b$bЯ должен немедленно вернуться к Хадрику, из-за отчета. Но сначала я вскрою для тебя ворота во внутренний двор. Наверное, ты можешь попытать счастья в борьбе с прячущимися там врагами.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ruRU"
"818","Когда-то я следовал путем Сумеречного Молота. Одержимый желанием воскресить древних богов, я забрался в глубины этого логова, чтобы забрать силу этого проклятого зверя Аку'май.$b$bНо, увидев, сколько невинных приносят здесь в жертву, я опомнился.$b$bЯ был в ловушке, но теперь свободен. Но моя родина, Каз Модан, так далеко отсюда!$b$bВ благодарность за победу над Аку'май я предлагаю тебе, $gхрабрый странник:храбрая странница;, побывать в очень необычном месте. Стоит тебе пожелать, и я отправлю тебя в город Дарнас.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ruRU"
"820","Добро пожаловать в мою таверну. Чем могу услужить?","Добро пожаловать в мою таверну. Чем могу услужить?","","","","","","","","","","","","","","","ruRU"
"821","Дай отдых усталым ногам.","Дай отдых усталым ногам.","","","","","","","","","","","","","","","ruRU"
"822","Мы рады вам, как ветру на равнинах.","Мы рады вам, как ветру на равнинах.","","","","","","","","","","","","","","","ruRU"
"823","Налей-ка себе полную кружку и садись рядом. Бочонки полны и нам есть о чем рассказать друг другу.","Налей-ка себе полную кружку и садись рядом. Бочонки полны и нам есть о чем рассказать друг другу.","","","","","","","","","","","","","","","ruRU"
"824","Ты выглядишь $gусталым:усталой;, и твой дух утомлен. Прошу тебя, отдохни у нас, и да пребудет с тобой целебная сила Элуны.","Ты выглядишь $gусталым:усталой;, и твой дух утомлен. Прошу тебя, отдохни у нас, и да пребудет с тобой целебная сила Элуны.","","","","","","","","","","","","","","","ruRU"
"825","Проходи, проходи. Только не садись слишком близко к печи. Сегодня она еще ни разу не взрывалась, но кто ее знает…","Проходи, проходи. Только не садись слишком близко к печи. Сегодня она еще ни разу не взрывалась, но кто ее знает…","","","","","","","","","","","","","","","ruRU"
"838",NULL,"Приветствую, |3-6($r)! Приятно познакомиться с вами.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ruRU"
"878",NULL,"Так, так… и кого там кошка принесла… Хм, чем же я могу помочь тебе, |3-6($c)?",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ruRU"
"879","Укротителя грифонов можно найти на северо-восточном валу Аллеи Героев.","Укротителя грифонов можно найти на северо-восточном валу Аллеи Героев.","А, тебе нужен Дунгар Долгопив. У него одни из самых быстрых грифонов по эту сторону Каз Модана! Ты можешь найти его на валу в Торговом квартале.","А, тебе нужен Дунгар Долгопив. У него одни из самых быстрых грифонов по эту сторону Каз Модана! Ты можешь найти его на валу в Торговом квартале.","Хочешь прокатиться на грифоне, а? Дунгар своих птичек держит на валу в Торговом квартале. Только не забывай держаться покрепче!","Хочешь прокатиться на грифоне, а? Дунгар своих птичек держит на валу в Торговом квартале. Только не забывай держаться покрепче!","Хм, грифоны? Никогда ими не интересовался, ну да каждому свое.  Обратитесь к Дунгару Долгопиву в Торговом квартале.","Хм, грифоны? Никогда ими не интересовался, ну да каждому свое.  Обратитесь к Дунгару Долгопиву в Торговом квартале.","","","","","","","","","ruRU"
"882","Альдвина Лолкинса можно найти в гостевых покоях Штормграда. Это в Торговом квартале.","Альдвина Лолкинса можно найти в гостевых покоях Штормграда. Это в Торговом квартале.","Гильдию, значит, надумали собрать? Ну что ж, удачи!  Поговорите с Альдвином Лолкинсом в гостевом центре Штормграда. Это в Торговом квартале, возле ворот на Аллею Героев.","Гильдию, значит, надумали собрать? Ну что ж, удачи!  Поговорите с Альдвином Лолкинсом в гостевом центре Штормграда. Это в Торговом квартале, возле ворот на Аллею Героев.","Аааа, ну тогда вам надо в гостевые покои Штормграда. Если войти в главные ворота из Аллеи Героев, это будет первый дом слева.","Аааа, ну тогда вам надо в гостевые покои Штормграда. Если войти в главные ворота из Аллеи Героев, это будет первый дом слева.","","","","","","","","","","","ruRU"
"898","Какой класс вас интересует?","Какой класс вас интересует?","","","","","","","","","","","","","","","ruRU"
"899","Маги обычно собираются в Башне магов, в Квартале магов. У них там такая башня! Рядом с ней наши казармы выглядят просто сараями какими-то.","Маги обычно собираются в Башне магов, в Квартале магов. У них там такая башня! Рядом с ней наши казармы выглядят просто сараями какими-то.","Интересуетесь тайной магией? Тогда обязательно посетите Башню магов в Квартале магов.","Интересуетесь тайной магией? Тогда обязательно посетите Башню магов в Квартале магов.","Похоже, тебе стоит поговорить с Магинором Дюма! Обычно он находится в Башне магов, в Квартале магов. Конечно, никогда не знаешь, когда и куда эти маги отправятся через свои порталы.","Похоже, тебе стоит поговорить с Магинором Дюма! Обычно он находится в Башне магов, в Квартале магов. Конечно, никогда не знаешь, когда и куда эти маги отправятся через свои порталы.","","","","","","","","","","","ruRU"
"900","Значит, тебе надо поговорить с Осборном. Он – наилучший учитель искусства незаметности в Штормграде. Ищи его в Старом городе.","Значит, тебе надо поговорить с Осборном. Он – наилучший учитель искусства незаметности в Штормграде. Ищи его в Старом городе.","Тьфу, да от этих разбойников никакой пользы – только работы нам в Штормграде прибавляют. Взять бы этих Осборна с Матиасом из Старого города – и прямиком в тюрьму.","Тьфу, да от этих разбойников никакой пользы – только работы нам в Штормграде прибавляют. Взять бы этих Осборна с Матиасом из Старого города – и прямиком в тюрьму.","Если вам нужны разбойники, отправляйтесь в Старый город. Это на северо-востоке Штормграда.","Если вам нужны разбойники, отправляйтесь в Старый город. Это на северо-востоке Штормграда.","","","","","","","","","","","ruRU"
"901","Воинов можно встретить либо в таверне ""Свинья и свисток"", либо в казармах Старого города. И мой тебе совет: сначала сходи в таверну.","Воинов можно встретить либо в таверне ""Свинья и свисток"", либо в казармах Старого города. И мой тебе совет: сначала сходи в таверну.","Хотите подучиться, да? Я мог бы обучить вас куда лучше, чем любой воин Штормграда, но стражам это запрещено. Думаю, вам придется поискать наставника возле казарм или в таверне ""Свинья и свисток"" в Старом городе.","Хотите подучиться, да? Я могла бы обучить вас куда лучше, чем любой воин Штормграда, но стражам это запрещено. Думаю, вам придется поискать наставника возле казарм или в таверне ""Свинья и свисток"" в Старом городе.","Посмотрите в Старом городе – в казармах или таверне ""Свинья и свисток"". Если зайдете в таверну, обязательно попробуйте тамошнего пива. Дворфийский эль и рядом не валялся, точно говорю.","Посмотрите в Старом городе – в казармах или таверне ""Свинья и свисток"". Если зайдете в таверну, обязательно попробуйте тамошнего пива. Дворфийский эль и рядом не валялся, точно говорю.","","","","","","","","","","","ruRU"
"902","После разрушения штормградского парка и гибели большинства бедняг эльфов найти старушку Целестину можно в Квартале дворфов.$B$BТам, куда ведут лестницы от северного порта... Там ты найдешь ее дом.","После разрушения штормградского парка и гибели большинства бедняг эльфов найти старушку Целестину можно в Квартале дворфов.$B$BТам, куда ведут лестницы от северного порта... Там ты найдешь ее дом.","","","","","","","","","","","","","","","ruRU"
"903","Собор Света на Соборной площади – это дом жречества Штормграда. Там ты найдешь верховную жрицу Лорену.","Собор Света на Соборной площади – это дом жречества Штормграда. Там ты найдешь верховную жрицу Лорену.","Лорена – верховная жрица Штормграда. Ее можно найти в Храме Света на Соборной площади.","Лорена – верховная жрица Штормграда. Ее можно найти в Храме Света на Соборной площади.","Советую заглянуть в Собор Света на Соборной площади.","Советую заглянуть в Собор Света на Соборной площади.","","","","","","","","","","","ruRU"
"904","Если вы хотите стать великим паладином, лучшего учителя, чем лорд Грейсон Тенелом, вам не найти. Грейсона можно встретить в Соборе Света на Соборной площади.","Если вы хотите стать великим паладином, лучшего учителя, чем лорд Грейсон Тенелом, вам не найти. Грейсона можно встретить в Соборе Света на Соборной площади.","","","","","","","","","","","","","","","ruRU"
"905","Торфин Камнещит проделал долгий путь из Стальгорна к нам, чтобы донести до нас свои знания об охоте. Если ты не против подышать дымным воздухом Квартала Дворфов, ты найдешь его в его доме в северо-восточной части района.","Торфин Камнещит проделал долгий путь из Стальгорна к нам, чтобы донести до нас свои знания об охоте. Если ты не против подышать дымным воздухом Квартала Дворфов, ты найдешь его в его доме в северо-восточной части района.","Охотник, значит? Ну, тогда тебе нужно поговорить с Торфином Камнещитом из Квартала Дворфов.  Да, и не забудь ему передать, что если я еще раз наступлю в сотворенное его питомцем, учить охотников он будет прямо из-за решетки в Тюрьме!","Охотник, значит? Ну, тогда тебе нужно поговорить с Торфином Камнещитом из Квартала Дворфов.  Да, и не забудь ему передать, что если я еще раз наступлю в сотворенное его питомцем, учить охотников он будет прямо из-за решетки в Тюрьме!","","","","","","","","","","","","","ruRU"
"906","Что? Я не знаю никаких наставников чернокнижников в Штормграде.  Хотя… Возле ""Забитого ягненка"" в Квартале магов как-то были замечены демоны. Можешь поискать там.","Что? Я не знаю никаких наставников чернокнижников в Штормграде.  Хотя… Возле ""Забитого ягненка"" в Квартале магов как-то были замечены демоны. Можешь поискать там.","Чернокнижники, да. Ходили слухи, что они собираются в баре под названием ""Забитый ягненок"", это в квартале магов. Но я ничего тебе не говорил!","Чернокнижники, да. Ходили слухи, что они собираются в баре под названием ""Забитый ягненок"", это в квартале магов. Но я ничего тебе не говорила!","","","","","","","","","","","","","ruRU"
"907","Что привело тебя в эту часть мира, $n?","Что привело тебя в эту часть мира, $n?",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ruRU"
"918","Какая профессия вас интересует?","Какая профессия вас интересует?","","","","","","","","","","","","","","","ruRU"
"919","Во всем Штормграде есть только одно место, интересное для алхимиков… Оно так и называется: ""Все для алхимика"". Ты найдешь его в Квартале магов, на внешнем кольце магазинов.","Во всем Штормграде есть только одно место, интересное для алхимиков… Оно так и называется: ""Все для алхимика"". Ты найдешь его в Квартале магов, на внешнем кольце магазинов.","В Квартале магов есть маленький магазинчик под названием ""Все для алхимика"". Вообще-то там полно всяких маленьких магазинчиков, но вы идите по внешнему кругу – точно не пропустите.","В Квартале магов есть маленький магазинчик под названием ""Все для алхимика"". Вообще-то там полно всяких маленьких магазинчиков, но вы идите по внешнему кругу – точно не пропустите.","","","","","","","","","","","","","ruRU"
"920","Терум Подземная Кузня – как раз тот дворф, который тебе нужен. Один из лучших местных кузнецов, скажу я тебе. Ищи его в центре Квартала Дворфов.","Терум Подземная Кузня – как раз тот дворф, который тебе нужен. Один из лучших местных кузнецов, скажу я тебе. Ищи его в центре Квартала Дворфов.","Ты что, $gсам:сама; не чуешь запах дыма из дворфийских горнов? Если хочешь учиться кузнечному делу, поищи Терума Подземную Кузню. Он сейчас в Районе гномов, это прямо на север от Соборной площади.","Ты что, $gсам:сама; не чуешь запах дыма из дворфийских горнов? Если хочешь учиться кузнечному делу, поищи Терума Подземную Кузню. Он сейчас в Районе гномов, это прямо на север от Соборной площади.","","","","","","","","","","","","","ruRU"
"921","Если хочешь научиться отлично готовить, отправляйся в таверну ""Свинья и свисток"" в старом городе и поговори со Стивеном Райбеком. Уж он-то умеет приготовить такие ребрышки, как никто другой.  Эх… даже слюнки потекли из-за тебя. Но не рассчитывай, что он тебя и это блюдо выучит готовить!","Если хочешь научиться отлично готовить, отправляйся в таверну ""Свинья и свисток"" в старом городе и поговори со Стивеном Райбеком. Уж он-то умеет приготовить такие ребрышки, как никто другой.  Эх… даже слюнки потекли из-за тебя. Но не рассчитывай, что он тебя и это блюдо выучит готовить!","В таверне ""Свинья и свисток"", что в Старом городе, есть превосходный повар. Я наблюдал, как он управляется с ножом. Между нами говоря, не думаю, что он всегда был поваром… Но если ты действительно хочешь учиться, обратись к нему.","В таверне ""Свинья и свисток"", что в Старом городе, есть превосходный повар. Я наблюдала, как он управляется с ножом. Между нами говоря, не думаю, что он всегда был поваром… Но если ты действительно хочешь учиться, обратись к нему.","","","","","","","","","","","","","ruRU"
"922","Инженерному делу в Штормграде обучает гном по имени Лилиам Шпиндель. Его можно найти в задней части Квартала Дворфов.","Инженерному делу в Штормграде обучает гном по имени Лилиам Шпиндель. Его можно найти в задней части Квартала Дворфов.","Ой, это мне напомнило, что мне нужно починить свои реактивные сапоги. Мудрым на заметку, мой друг: реактивные сапоги и грифоны плохо сочетаются.  Ой, тебе же нужно объяснить, как пройти… просто направляйся в Квартал Дворфов, ты найдешь Лилиама Шпинделя дальше, в глубине.","Ой, это мне напомнило, что мне нужно починить свои реактивные сапоги. Мудрым на заметку, мой друг: реактивные сапоги и грифоны плохо сочетаются.  Ой, тебе же нужно объяснить, как пройти… просто направляйся в Квартал Дворфов, ты найдешь Лилиама Шпинделя дальше, в глубине.","","","","","","","","","","","","","ruRU"
"923","В Соборе Света собираются целители со всего Штормграда. Найди там Шайну Корпию – она обучит тебя тонкостям своей профессии.","В Соборе Света собираются целители со всего Штормграда. Найди там Шайну Корпию – она обучит тебя тонкостям своей профессии.","Обучение первой помощи лучше всего проходить в Соборе Света, под бдительным присмотром Шайны Корпии.   Желтые крыши соборного двора и шпиль самого собора видно из любой точки города.","Обучение первой помощи лучше всего проходить в Соборе Света, под бдительным присмотром Шайны Корпии.   Желтые крыши соборного двора и шпиль самого собора видно из любой точки города.","","","","","","","","","","","","","ruRU"
