"1";"ruRU";;" Привет, $n.";;;;;;;;;;;;;;
" 2";"ruRU";;" Привет, $N. Могу я чем-нибудь помочь?";;;;;;;;;;;;;;
" 3";"ruRU";" Приветствую, гражданин. Я прошу вас уйти, если вам не о чем просить меня.";;;;;;;;;;;;;;;
" 4";"ruRU";" Я живу только для того, чтобы служить нашему королю.";;;;;;;;;;;;;;;
" 5";"ruRU";" Проходи, гражданин. Здесь не на что смотреть.";;;;;;;;;;;;;;;
" 6";"ruRU";" На страницах книги начинают складываться сотни различных схем и схем. Вы узнаете некоторые из диаграмм, в то время как другие остаются иностранными, но знакомыми.";" На страницах книги начинают складываться сотни различных схем и схем. Вы узнаете некоторые из диаграмм, в то время как другие остаются иностранными, но знакомыми.";;;;;;;;;;;;;;
" 7";"ruRU";" Ассортимент изображений, форм и маркировок собирается вместе на ваших глазах. Книга, кажется, знает о ваших навыках в кожевенном деле и предлагает вам выбор — но будьте осторожны — вы можете выбрать только один, и как только вы это сделаете, не можете передумать!:";" Ассортимент изображений, форм и маркировок собирается вместе на ваших глазах. Книга, кажется, знает о ваших навыках в кожевенном деле и предлагает вам выбор — но будьте осторожны — вы можете выбрать только один, и как только вы это сделаете, не можете передумать!:";;;;;;;;;;;;;;
"18";"ruRU";"Оставайся рядом со мной, $N. Мы можем нуждаться друг в друге.";;;;;;;;;;;;;;;
"24";"ruRU";"Ах, $N! Маленькая птичка сказала мне, что ты придешь.$B$BТак Авиана рассылает сообщения.";;;;;;;;;;;;;;;
"34";"ruRU";"Какая профессия?";"Какая профессия?";;;;;;;;;;;;;;
"42";"ruRU";"Смертокрыл вернулся. Он захватил Грим Батол и большую часть высокогорья, и я чувствую себя почти бессильным остановить его.";;;;;;;;;;;;;;;
"48";"ruRU";"Чем я могу тебе помочь?";"Чем я могу тебе помочь?";"Чем я могу тебе помочь?";"Чем я могу тебе помочь?";"Чем я могу тебе помочь?";"Чем я могу тебе помочь?";;;;;;;;;;
"225";"ruRU";"За все мои дни, $r, я никогда не видел ничего подобного...";;"Мы плохо экипированы для сражения здесь.$b$bНужна подготовка...";;;;;;;;;;;;;
"246";"ruRU";"Давай выйдем и закопаем этих каменных троггов обратно в землю, $r!";;;;;;;;;;;;;;;
"247";"ruRU";"Ты нужен мне на передовой, $N.$B$BТы сделаешь разницу. Мы сокрушим каменных троггов раз и навсегда.$B$BМы должны спасти Короля Оремантла!";;;;;;;;;;;;;;;
"248";"ruRU";"<Клэй ворчит и усмехается.>$B$BЧертовы дети в наши дни.";;;;;;;;;;;;;;;
"328";"ruRU";"Привет, $n.";"Привет, $n.";;;;;;;;;;;;;;
"384";"ruRU";"Привет, $n.";"Привет, $n.";;;;;;;;;;;;;;
"401";"ruRU";"Дворфы Громового Молота могут иметь быстрых скакунов, но смогут ли эти грифоны Заоблачного Пика выдержать жар Великой Кузни? Думаю, нет!";;;;;;;;;;;;;;;
"447";"ruRU";"Долина Испытаний закалит даже самого слабого воина, достойного присоединиться к Орде. Те, кто не выдержит его испытаний, останутся гореть под палящим солнцем пустыни.";;;;;;;;;;;;;;;
"518";"ruRU";"Много дел, много дел! Союз поставил нам крайние сроки, а их не хочется пропускать!";;;;;;;;;;;;;;;
"519";"ruRU";"Директор Риддлевокс назначил меня ответственным за программу разработки шредеров Союза. Несколько месяцев на работе, а я уже в ударе! Мне бы не помешала твоя помощь, $n!";;;;;;;;;;;;;;;
"520";"ruRU";"Видите ли, новый шредер Venture Company лучше, чем мой последний, от сменных рук до рукояток управления! Мой босс поставил мне довольно жесткие сроки, но мы с ребятами ничего не могли придумать. $b$b Ничего не получалось, поэтому мы решили «одолжить» один из их прототипов. Я отправил Виззлкранка в Илую топь, чтобы украсть один, но он еще не вернулся!";;;;;;;;;;;;;;;
"521";"ruRU";"Вы убили Призрачного Воя. Ты шпилька!";;;;;;;;;;;;;;;
"522";"ruRU";"Подойди поближе, молодой. В свое время я мог слышать трепетание бьющегося сердца жертвы, но теперь вы должны говорить, если хотите, чтобы ваши слова были услышаны.";;;;;;;;;;;;;;;
"523";"ruRU";"Я бегал по этим равнинам много-много сезонов. И я охотился на больших зверей. И я никогда не был побежден... пока не столкнулся с Призрачным Воем.$B$BLДавным-давно огромный волк был союзником тауренов и храбро сражался против Пылающего Легиона. Но он был жестоко ранен демоном, и рана на его плоти так и не зажила. В конце концов... это привело Призрачного Воя в бешенство.$B$BТеперь он бродит по равнинам в агонии, ища конец своей боли. К моему стыду, когда мы дрались, мне не хватило сил его убить...";;;;;;;;;;;;;;;
"538";"ruRU";"Привет маг. Должен ли я дать вам дальнейшее понимание мира магии?";"Привет маг. Должен ли я дать вам дальнейшее понимание мира магии?";;;;;;;;;;;;;;
"539";"ruRU";"Рад встрече, $c. Мой вам совет: путешествуя по миру, опасайтесь магии, ибо она сожжет неподготовленных.";"Рад встрече, $c. Мой вам совет: путешествуя по миру, опасайтесь магии, ибо она сожжет неподготовленных.";;;;;;;;;;;;;;
"558";"ruRU";"Привет. Я тренер магов, и ты маг.";"Привет. Я тренер магов, и ты маг.";;;;;;;;;;;;;;
"559";"ruRU";"Рад встрече, $c. Мой вам совет: путешествуя по миру, опасайтесь магии, ибо она сожжет неподготовленных.";"Рад встрече, $c. Мой вам совет: путешествуя по миру, опасайтесь магии, ибо она сожжет неподготовленных.";;;;;;;;;;;;;;
"560";"ruRU";"Привет. Я тренер гномов-магов, а ты маг.";"Привет. Я тренер гномов-магов, а ты маг.";;;;;;;;;;;;;;
"561";"ruRU";"Рад встрече, $c. Хочешь совет? Подружись с магом! У нас есть один или два трюка в рукаве, мы делаем...";"Рад встрече, $c. Хочешь совет? Подружись с магом! У нас есть один или два трюка в рукаве, мы делаем...";;;;;;;;;;;;;;
"562";"ruRU";"Привет. Я тренер магов нежити, а ты маг.";"Привет. Я тренер магов нежити, а ты маг.";;;;;;;;;;;;;;
"563";"ruRU";"Рад встрече, $c. Мой вам совет: путешествуя по миру, опасайтесь магии, ибо она сожжет неподготовленных.";"Рад встрече, $c. Мой вам совет: путешествуя по миру, опасайтесь магии, ибо она сожжет неподготовленных.";;;;;;;;;;;;;;
"564";"ruRU";"Привет, $с. Вы здесь, чтобы узнать о скрытых искусствах?";"Привет, $с. Вы здесь, чтобы узнать о скрытых искусствах?";;;;;;;;;;;;;;
"565";"ruRU";"Привет, $с. Мне жаль вас, ибо тайны истинной магии вам недоступны...";"Привет, $с. Мне жаль вас, ибо тайны истинной магии вам недоступны...";;;;;;;;;;;;;;
"580";"ruRU";;"Это еще не ваше время. Я помогу тебе вернуться в царство живых... за определенную плату.";;;;;;;;;;;;;;
"581";"ruRU";"С санкции леди Сильваны число охотников за смертью растет. Больше клинков, чтобы поразить наших врагов, когда они меньше всего этого ожидают.";"С санкции леди Сильваны число охотников за смертью растет. Больше клинков, чтобы поразить наших врагов, когда они меньше всего этого ожидают.";;;;;;;;;;;;;;
"623";"ruRU";"Чего ты хочешь, $с? Я опаздываю, и мой работодатель не любит опозданий.";;;;;;;;;;;;;;;
"624";"ruRU";"Да. Что это для тебя?";;;;;;;;;;;;;;;
"638";"ruRU";"Изувеченная Длань увидит Орду в ее былом величии, которому не помешает робость Вождя.";"Изувеченная Длань увидит Орду в ее былом величии, которому не помешает робость Вождя.";;;;;;;;;;;;;;
"678";"ruRU";"Что за молодой $c вроде тебя навещает старого фермера вроде меня?";;;;;;;;;;;;;;;
"698";"ruRU";"Наралекс снова спит!$b$bДавным-давно Наралекс отправился в эту пещеру с благородной целью войти в Изумрудный Сон и превратить Степи в пышный лес. Его внимание ослабло, а мысли затуманились змеиными видениями.$b$bТеперь рептильные звери просачиваются из его снов на землю. Он должен пробудиться от кошмара, иначе он будет потерян навсегда, и великое зло вырвется на свободу.$b$bТолько после того, как его испорченные слуги, Повелители Клыков, будут убиты, я смогу провести ритуал пробуждения.$B$B";;;;;;;;;;;;;;;
"699";"ruRU";"Фангллорды мертвы! Надежда еще не потеряна!$b$bРитуал пробуждения, однако, весьма сложен. Это невозможно сделать в одиночку.$b$bЯ займусь всеми необходимыми приготовлениями, но мне нужно, чтобы ты меня защитил. Кошмары, вызванные путешествием Наралекса через Изумрудный Сон, оказываются весьма грозными. Без вашей помощи эта миссия обречена.$b$bКогда вы будете готовы защищать меня, скажите слово, и я поведу вас в комнату Наралекса.";;;;;;;;;;;;;;;
"718";"ruRU";"Машина настраивается лицом к вам.$B$BНа задней части машины есть пустой, странно деформированный слот с гравировкой, которая гласит: ""Propirtee o'Cap'n Gelkak Gyromast""";;;;;;;;;;;;;;;
"720";"ruRU";"Привет! Вы выполняете поручение Тирта? На твоем месте я бы убрался от него как можно дальше! Его разум был отравлен из-за слишком большого количества выпивки, но его магия сильна как никогда!";;;;;;;;;;;;;;;
"733";"ruRU";"Смотри, куда ступаешь, $Glad:lass;. Ты можешь не быть частью нашего наряда, но это не значит, что я не буду бить тебя тростью, если ты выйдешь из строя!";;;;;;;;;;;;;;;
"737";"ruRU";"Ну привет. Кажется, ты был бы не против подзаработать, а? Я могу сказать по взгляду в твоих глазах. Я могул Кебок, надзиратель за операциями в Азероте, и если вы ищете богатства, возможно, я смогу все устроить.";;;;;;;;;;;;;;;
"738";"ruRU";"Конечно, я скажу вам фразу. Пока мне не нужно приближаться к Тирту!";;;;;;;;;;;;;;;
"739";"ruRU";"Не говори Тирту, что я все еще здесь. Если он узнает, что я не покидал Мерцающих Равнин, я всегда буду выполнять его поручения и стирать его грязное белье!";;;;;;;;;;;;;;;
"758";"ruRU";"Ключ Гелкака вставляется в свободный слот.";;;;;;;;;;;;;;;
"759";"ruRU";"Вы издеваетесь надо мной, пока я не могу защитить себя, прикованная к этому железному шару?";;;;;;;;;;;;;;;
"760";"ruRU";"У одного из людей есть ключ к этому адскому приспособлению. Эстон, кажется, они сказали, что его зовут.";;;;;;;;;;;;;;;
"761";"ruRU";"Уходи отсюда, $c, или тебя тоже заковают в цепи.";;;;;;;;;;;;;;;
"762";"ruRU";"Марлген... Один из тюремщиков. У него есть ключ к моим связям.";;;;;;;;;;;;;;;
"764";"ruRU";"Банк Штормграда расположен в Торговом квартале к северо-западу от городских ворот. Вот, позвольте мне показать вам на вашей карте.";"Банк Штормграда расположен в Торговом квартале к северо-западу от городских ворот. Вот, позвольте мне показать вам на вашей карте.";"Счетная палата Штормграда расположена у главных ворот в Торговом квартале Штормграда. А когда вам надоест считать деньги, обязательно зайдите в «Позолоченную розу» выпить.";"Счетная палата Штормграда расположена у главных ворот в торговом районе Штормграда. А когда вам надоест считать деньги, обязательно зайдите в «Позолоченную розу» выпить.";;;;;;;;;;;;
"766";"ruRU";"Лишь бы снег весь растаял. Мой халат постоянно намокает и все портится!";;;;;;;;;;;;;;;
"767";"ruRU";"Глупый снег... Эй, ты $n, не так ли? Я только что получил сообщение с просьбой о вас.";;;;;;;;;;;;;;;
"768";"ruRU";"Вас призвал Лаго Блэкренч, магистр-чернокнижник из Стальгорна. Вы поступили бы правильно, если бы немедленно доложили ему. Вы найдете его в районе Forlorn Cavern города.";;;;;;;;;;;;;;;
"769";"ruRU";"Приветствую, $R, меня зовут Тарнариун Древесник.";;;;;;;;;;;;;;;
"773";"ruRU";"$С, а? Я Кразек, секретарь барона Ревилгаза. Я знаю все о том, что происходит в этих джунглях и за их пределами. Возможно, вам было бы интересно узнать текущие цены на нефть в Рэтчете? Нет? Ищете работу, может быть? Я могу помочь вам там.";;;;;;;;;;;;;;;
"778";"ruRU";"Если вы спросите меня, я думаю, что гоблины — это ботинок. У нас есть инструменты, и у нас есть талант!";"Если вы спросите меня, я думаю, что гоблины — это ботинок. У нас есть инструменты, и у нас есть талант!";"Если бы не эта проклятая гномья удача, они бы никогда не выиграли гонку!";"Если бы не эта проклятая гномья удача, они бы никогда не выиграли гонку!";"На вашем месте я бы купил ваучер на гонку гоблинов. Болеть за другую команду — пустая трата времени.";"На вашем месте я бы купил ваучер на гонку гоблинов. Болеть за другую команду — пустая трата времени.";"Мои деньги на гоблинов! А если у вас есть смысл, то и у вас тоже!";"Мои деньги на гоблинов! А если у вас есть смысл, то и у вас тоже!";"Я слышал, они собираются взорвать машину гнома в следующей гонке! Правда это или нет, но я бы держался подальше от их ямы.";"Я слышал, они собираются взорвать машину гнома в следующей гонке! Правда это или нет, но я бы держался подальше от их ямы.";;;;;;
"779";"ruRU";"О, ты имеешь в виду Джонсона? Я слышал, что он скрывается.";"О, ты имеешь в виду Джонсона? Я слышал, что он скрывается.";"Ха! Тирт ищет его уже несколько дней, но не хочет, чтобы его нашли. Он курица!";"Ха! Тирт ищет его уже несколько дней, но не хочет, чтобы его нашли. Он курица!";"Ты ищешь отважного? Ну, вы не слышали, как я это сказал, но... может быть, если вы спросите Кронкрайдера в башне, он скажет вам...";"Ты ищешь отважного? Ну, вы не слышали, как я это сказал, но... может быть, если вы спросите Кронкрайдера в башне, он скажет вам...";;;;;;;;;;
"780";"ruRU";"Если бы не невероятная глупая удача гоблинов, они бы разбивали свою машину во время каждой гонки!";"Если бы не невероятная глупая удача гоблинов, они бы разбивали свою машину во время каждой гонки!";"Эти гонки — отличная возможность показать свою изобретательность!";"Эти гонки — отличная возможность показать свою изобретательность!";"Установил новый прибор в матричный регулометр нашего автомобиля. Это должно увеличить его коэффициент скорости не менее чем в пятнадцать раз!";"Установил новый прибор в матричный регулометр нашего автомобиля. Это должно увеличить его коэффициент скорости не менее чем в пятнадцать раз!";"Мой сын мог бы сконструировать более быструю машину, чем эта неуклюжая груда хлама гоблинов!";"Мой сын мог бы сконструировать более быструю машину, чем эта неуклюжая груда хлама гоблинов!";"Мой Gizmotic Almanacotron говорит, что мы должны победить гоблинов на двадцать секунд больше, чем в прошлый раз!";"Мой Gizmotic Almanacotron говорит, что мы должны победить гоблинов на двадцать секунд больше, чем в прошлый раз!";;;;;;
"781";"ruRU";"Тирт сейчас не в себе, как и его помощник.";"Тирт сейчас не в себе, как и его помощник.";"Джонсон? Я думаю, он где-то здесь...";"Джонсон? Я думаю, он где-то здесь...";"Отважный? Я слышал, что мастер расы Кронкрайдер на башне знает, где он.";"Отважный? Я слышал, что мастер расы Кронкрайдер на башне знает, где он.";;;;;;;;;;
"798";"ruRU";"В конце концов! Наконец-то я свободен от этой камеры!$b$bКирин-Тор послал меня из Даларана, чтобы я расследовал успехи Аругала среди нежити здесь, в Серебряном бору. Мы и не подозревали, что волшебник потерял рассудок. $b$bЯ должен немедленно сообщить об этом беспорядке! Но прежде чем я уйду, позвольте мне открыть волшебный замок на двери во двор.$b$bВы победили Ретилгора, возможно, вы переживете то, что ждет вас впереди....";;;;;;;;;;;;;;;
"799";"ruRU";"В конце концов! Кто-нибудь, кто освободит меня из этой камеры!$b$bВерховный палач Хадрек послал нас собрать информацию о крепости, чтобы можно было сформулировать план по свержению Аругала раз и навсегда.$b$bНо у старого волшебника в рукаве много хитростей и нас обнаружил магический оберег. Меня бросили в эту тюрьму. Винсенту не так повезло.$b$bЯ должен немедленно вернуться к Хадреку, чтобы допросить его. Но сначала я открою для тебя замок на двери во двор. Возможно, вы попытаете удачу против врагов, которые скрываются за вами.";;;;;;;;;;;;;;;
"818";"ruRU";"Когда-то я следовал пути Сумеречного Молота. Одержимый возрождением Древних Богов, я отправился вглубь этого логова, чтобы попытаться черпать силу из проклятого зверя, Аку'май!$b$bПосле того, как я стал свидетелем принесения в жертву бесчисленных невинных людей, я пришел в себя.$b$bЯ попал в ловушку. но теперь я свободен! Но так далеко от моей родины, Каз Модана!$b$bХрабрый искатель приключений, я предлагаю тебе пройти в особую землю в обмен на убийство Аку'мая. Если хочешь, я могу переправить тебя в город Дарнас.";;;;;;;;;;;;;;;
"820";"ruRU";"Добро пожаловать в мою гостиницу, усталый путник. Что я могу сделать для вас?";"Добро пожаловать в мою гостиницу, усталый путник. Что я могу сделать для вас?";;;;;;;;;;;;;;
"821";"ruRU";"Дай отдых своим усталым костям для заклинания.";"Дай отдых своим усталым костям для заклинания.";;;;;;;;;;;;;;
"822";"ruRU";"Как ветер на равнинах, вам здесь всегда рады.";"Как ветер на равнинах, вам здесь всегда рады.";;;;;;;;;;;;;;
"823";"ruRU";"Наполни свою кружку и пододвинь стул. У нас есть истории, которые нужно рассказать, и бочонки, которые нужно опустошить.";"Наполни свою кружку и пододвинь стул. У нас есть истории, которые нужно рассказать, и бочонки, которые нужно опустошить.";;;;;;;;;;;;;;
"824";"ruRU";"Ваше тело выглядит изношенным, а дух утомленным. Отдохните под нашей крышей и позвольте Элуне направить ваши мечты.";"Ваше тело выглядит изношенным, а дух утомленным. Отдохните под нашей крышей и позвольте Элуне направить ваши мечты.";;;;;;;;;;;;;;
"825";"ruRU";"Заходи, заходи. Только не садись слишком близко к печке. Сегодня он еще не взорвался, но на всякий случай я думаю, вам следует сесть в другом месте.";"Заходи, заходи. Только не садись слишком близко к печке. Сегодня он еще не взорвался, но на всякий случай я думаю, вам следует сесть в другом месте.";;;;;;;;;;;;;;
"838";"ruRU";;"Здравствуйте, $r, приятно познакомиться с вами. $B";;;;;;;;;;;;;;
"878";"ruRU";;"Ну-ну... смотри, что принес кот... и чем я могу тебе помочь, $c?";;;;;;;;;;;;;;
"879";"ruRU";"Вы можете найти хозяина грифона на северо-восточном валу с видом на Долину Героев.";"Вы можете найти хозяина грифона на северо-восточном валу с видом на Долину Героев.";"Аааа, вы ищете Дангара Лонгдринка. У него одни из самых быстрых грифонов по эту сторону Каз Модана! Вы можете найти его на крепостных валах в Торговом квартале.";"Аааа, вы ищете Дангара Лонгдринка. У него одни из самых быстрых грифонов по эту сторону Каз Модана! Вы можете найти его на крепостных валах в Торговом квартале.";"Хочешь прокатиться на грифоне, а? Дунгар держит своих птиц на крепостном валу в Торговом квартале. Только не забывайте крепко держаться!";"Хочешь прокатиться на грифоне, а? Дунгар держит своих птиц на крепостном валу в Торговом квартале. Только не забывайте крепко держаться!";"Грифоны, что ли? Никогда особо не заботился о зверях, но каждому свое.";"Грифоны, что ли? Никогда особо не заботился о зверях, но каждому свое.";;;;;;;;
"882";"ruRU";"Вы можете найти Олдвина Лафлина в Центре для посетителей Штормграда в Торговом квартале.";"Вы можете найти Олдвина Лафлина в Центре для посетителей Штормграда в Торговом квартале.";"Собираешься создать гильдию, а? Тогда удачи вам! $B$BПоговорите с Олдвином Лафлином в Центре посетителей Штормграда. Он находится в Торговом квартале, сразу после входа из Долины Героев.";"Собираешься создать гильдию, а? Тогда удачи вам! $B$BПоговорите с Олдвином Лафлином в Центре посетителей Штормграда. Он находится в Торговом квартале, сразу после входа из Долины Героев.";"Аааа, тогда вам нужен Центр посетителей Штормграда. Это первое здание слева, если пройти через главные ворота из Долины Героев.";"Аааа, тогда вам нужен Центр посетителей Штормграда. Это первое здание слева, если пройти через главные ворота из Долины Героев.";;;;;;;;;;
"898";"ruRU";"Тренера какого класса вы ищете?";"Тренера какого класса вы ищете?";;;;;;;;;;;;;;
"899";"ruRU";"Волхвы собираются в Святилище Волшебника в Квартале Магов. Хорошая башня у них там. Наши казармы похожи на крестьянские лачуги.";"Волхвы собираются в Святилище Волшебника в Квартале Магов. Хорошая башня у них там. Наши казармы похожи на крестьянские лачуги.";"О, ты ищешь тайного просветления? Нет места лучше, чем Святилище Волшебника в Квартале Магов.";"О, ты ищешь тайного просветления? Нет места лучше, чем Святилище Волшебника в Квартале Магов.";"Похоже, вы хотите поговорить с Магинором Дюма! Обычно его можно найти в Святилище Волшебника в Квартале Магов. Конечно, вы никогда не знаете, когда и куда эти маги отправятся в портал.";"Похоже, вы хотите поговорить с Магинором Дюма! Обычно его можно найти в Святилище Волшебника в Квартале Магов. Конечно, вы никогда не знаете, когда и куда эти маги отправятся в портал.";;;;;;;;;;
"900";"ruRU";"Тогда ты хочешь поговорить с Осборном. Нет лучшего учителя искусств скрытности, чем он в Штормграде. Ищите его в Старом городе.";"Тогда ты хочешь поговорить с Осборном. Нет лучшего учителя искусств скрытности, чем он в Штормграде. Ищите его в Старом городе.";"Ба, мошенники только и делают, что усложняют нам работу здесь, в Штормграде. Хотел бы я вытащить Осборна и Матиаса из Старого города прямо к частоколу.";"Ба, мошенники только и делают, что усложняют нам работу здесь, в Штормграде. Хотел бы я вытащить Осборна и Матиаса из Старого города прямо к частоколу.";"Старый город — это то место, куда вам следует отправиться, если вы хотите найти мошенников. Это в северо-восточном углу Штормграда.";"Старый город — это то место, куда вам следует отправиться, если вы хотите найти мошенников. Это в северо-восточном углу Штормграда.";;;;;;;;;;
"901";"ruRU";"Воинов обычно можно найти либо в таверне «Свинья и свисток», либо в казармах в Старом городе. Скажи тебе, однако, таверна, вероятно, лучшее место для поиска.";"Воинов обычно можно найти либо в таверне «Свинья и свисток», либо в казармах в Старом городе. Скажи тебе, однако, таверна, вероятно, лучшее место для поиска.";"Ищешь тренировки, а? Я мог бы обучить тебя лучше, чем кто-либо в Штормграде, но охрана запрещает это. Думаю, вам придется довольствоваться одним из тех быков, которые околачиваются вокруг казарм или в таверне «Свинья и свисток» в Старом городе.";"Ищешь тренировки, а? Я мог бы обучить тебя лучше, чем кто-либо в Штормграде, но охрана запрещает это. Думаю, вам придется довольствоваться одним из тех быков, которые околачиваются вокруг казарм или в таверне «Свинья и свисток» в Старом городе.";"Осмотрите Старый город в казармах или в таверне «Свинья и свисток». Если вы идете в таверну, не забудьте попробовать некоторые из прекрасных сортов пива. Говорю тебе, дварфийские эли посрамлены.";"Осмотрите Старый город в казармах или в таверне «Свинья и свисток». Если вы идете в таверну, не забудьте попробовать некоторые из прекрасных сортов пива. Говорю тебе, дварфийские эли посрамлены.";;;;;;;;;;
"902";"ruRU";"Ну, вы можете найти Теридана или Малдрина у лунного колодца в парке. Просто отправляйтесь в западную часть Штормграда, к северу от квартала магов, но к западу от Соборной площади.";"Ну, вы можете найти Теридана или Малдрина у лунного колодца в парке. Просто отправляйтесь в западную часть Штормграда, к северу от квартала магов, но к западу от Соборной площади.";"Если вы ищете наставников друидов, вам стоит отправиться в парк. Теридана и Малдрина обычно можно найти у лунного колодца в центре района.";"Если вы ищете наставников друидов, вам стоит отправиться в парк. Теридана и Малдрина обычно можно найти у лунного колодца в центре района.";"Мы дитя природы? Тогда вам не нужно искать дальше лунного колодца в парке.";"Мы дитя природы? Тогда вам не нужно искать дальше лунного колодца в парке.";;;;;;;;;;
"903";"ruRU";"Собор Света на Соборной площади является домом для жрецов Штормграда. Там вы найдете Верховную Жрицу Лорену.";"Собор Света на Соборной площади является домом для жрецов Штормграда. Там вы найдете Верховную Жрицу Лорену.";"Лорена — верховная жрица Штормграда. Вы можете найти ее в Соборе Света на Соборной площади.";"Лорена — верховная жрица Штормграда. Вы можете найти ее в Соборе Света на Соборной площади.";"Я бы посоветовал заглянуть в Собор Света на Соборной площади.";"Я бы посоветовал заглянуть в Собор Света на Соборной площади.";;;;;;;;;;
"904";"ruRU";"Если вы хотите стать могущественным паладином, нет лучшего учителя, чем Лорд Грейсон Тенелом. Его можно найти в Соборе Света на Соборной площади.";"Если вы хотите стать могущественным паладином, нет лучшего учителя, чем Лорд Грейсон Тенелом. Его можно найти в Соборе Света на Соборной площади.";;;;;;;;;;;;;;
