"entry","content_default","content_loc8"
"160","USER2: %i, ADD: %i, RESULT: %i
","NULL"
"161","Removed bit %i in field %i.","NULL"
"162","Set bit %i in field %i.","NULL"
"163","Teleport location table is empty!","NULL"
"164","Teleport location not found!","NULL"
"165","Requires search parameter.","NULL"
"166","There are no teleport locations matching your request.","NULL"
"167","This name is reserved, choose another one","NULL"
"168","The following locations were found:
%s","NULL"
"169","Mail sent to %s","NULL"
"170","You tried to play the sound %u, but it does not exist.","NULL"
"171","You can't teleport yourself to yourself!","NULL"
"172","server console command","NULL"
"173","You changed the runic power of %s to %i/%i.","NULL"
"174","%s changed your runic power to %i/%i.","NULL"
"175","Liquid level: %f, ground: %f, type: %u, flags %u, status: %d.","NULL"
"176","Invalid gameobject type, must be a destructible building.","NULL"
"177","Gameobject %s (GUID: %u) damaged %u (actual health: %u).","NULL"
"178","grid[%u,%u]cell[%u,%u] InstanceID: %u
 ZoneX: %f ZoneY: %f
GroundZ: %f FloorZ: %f MinHeight: %f Have height data (Map: %u VMap: %u MMap: %u)","NULL"
"186","TransMapID: %u TransOffsetX: %f TransOffsetY: %f TransOffsetZ: %f TransOffsetO: %f (Transport ID: %u %s)","NULL"
"187","The group's leader is not in your instance - summoning only members that are already in your map.","NULL"
"188","The provided two-factor authentication secret is too long.","NULL"
"189","The provided two-factor authentication secret is not valid.","NULL"
"190","Successfully enabled two-factor authentication for '%s' with the specified secret.","NULL"
"191","|- %.*s","NULL"
"192","|- %.*s ...","NULL"
"193","Subcommand '%.*s%c%.*s' does not exist.","NULL"
"194","Command '%.*s' is ambiguous:","NULL"
"195","### USAGE: .%.*s ...","###Использование: .%.*s…"
"196","There is no detailed usage information associated with '%.*s'.
This should never occur for stock TrinityCore commands - if it does, report this as a bug.
If this is a custom command, use `trinity_string` to specify it. Look at cs_achievement.cpp for example usage.","NULL"
"200","No selection.","Ничего не выбрано."
"201","Object GUID is: %s","NULL"
"202","The name was too long by %i characters.","NULL"
"203","Error, a name can only contain the characters A-Z and a-z.","NULL"
"204","The subname was too long by %i characters.","NULL"
"205","Not yet implemented","NULL"
"206","Item '%i' '%s' added to list with maxcount '%i' and incrtime '%i' and extendedcost '%i'","NULL"
"207","Item '%i' not found in database.","NULL"
"208","Item '%i' '%s' deleted from vendor list","NULL"
"209","Item '%i' not found in vendor list.","NULL"
"210","Item '%u' (with extended cost %u) is already in the vendor list.","NULL"
"211","Spells of %s reset.","NULL"
"212","Spells of %s will reset at next login.","NULL"
"213","Talents of %s reset.","NULL"
"214","Talents of %s will reset at next login.","NULL"
"215","Your spells have been reset.","NULL"
"216","Your talents have been reset.","NULL"
"217","Unknown case '%s' for .resetall command. Type full correct case name.","NULL"
"218","Spells will be reset for all players at login. Relogging is strongly recommended!","NULL"
"219","Talents will be reset for all players at login. Relogging is strongly recommended!","NULL"
"220","Creature (GUID: %u) No waypoint found.","NULL"
"221","Creature (GUID: %u) Last waypoint not found.","NULL"
"222","Creature (GUID: %u) No waypoint found - used 'wpguid'. Now trying to find it by its position...","NULL"
"223","Creature (GUID: %u) No waypoints found - This is a MaNGOS db problem (single float).","NULL"
"224","Selected creature is ignored - provided GUID is used","NULL"
"225","Creature (GUID: %u) not found","NULL"
"226","You must select a visual waypoint.","NULL"
"227","No visual waypoints found","NULL"
"228","Could not create visual waypoint with creatureID: %d","NULL"
"229","All visual waypoints removed","NULL"
"230","Could not create waypoint-creature with ID: %d","NULL"
"231","No GUID provided.","NULL"
"232","No waypoint number provided.","NULL"
"233","Argument required for '%s'.","NULL"
"234","Waypoint %i added to GUID: %d","NULL"
"235","Waypoint %d added.","NULL"
"236","Waypoint changed.","NULL"
"237","Waypoint %s modified.","NULL"
"238","WP export successfull.","NULL"
"239","No waypoints found in the database.","NULL"
"240","File imported.","NULL"
"241","Waypoint removed.","NULL"
"242","Warning: Could not delete WP with ID: %d from the world","NULL"
"243","This happens if the waypoint is too far away from your char.","NULL"
"244","The WP is deleted from the database, but not from the world here.","NULL"
"245","They will disappear after a server restart.","NULL"
"246","Waypoint %d: Info for creature: %s, GUID: %d","NULL"
"247","Waittime: %d","NULL"
"248","Model %d: %d","NULL"
"249","Emote: %d","NULL"
"250","Spell: %d","NULL"
"251","Text%d (ID: %i): %s","NULL"
"252","AIScript: %s","NULL"
"253","Forced rename for player %s will be requested at next login.","NULL"
"254","Forced rename for player %s (GUID #%u) will be requested at next login.","NULL"
"255","Waypoint-Creature (GUID: %u) Not found","NULL"
"256","Could not find NPC...","NULL"
"257","Creature movement type set to '%s', waypoints removed (if any).","NULL"
"258","Creature movement type set to '%s', waypoints were not removed.","NULL"
"259","Incorrect value, use on or off","NULL"
"260","Value saved.","NULL"
"261","Value saved, you may need to rejoin or clean your client cache.","NULL"
"262","Areatrigger ID %u not found!","NULL"
"263","Invalid target map or coordinates (X: %f Y: %f MapId: %u)","NULL"
"264","Invalid zone coordinates (X: %f Y: %f AreaId: %u)","NULL"
"265","Zone %u (%s) is part of instanceable map %u (%s)","NULL"
"266","Nothing found!","NULL"
"267","Object not found!","NULL"
"268","Creature not found!","NULL"
"269","Warning: Mob found more than once - you will be teleported to the first one found in DB.","NULL"
"270","Creature Removed","NULL"
"271","Creature moved.","NULL"
"272","Creature (GUID:%u) must be on the same map as player!","NULL"
"273","Game Object (GUID: %u) not found","NULL"
"274","Game Object (GUID: %u) is referenced by nonexistent creature %u in GO list, can't be deleted.","NULL"
"275","Game Object (GUID: %u) removed","NULL"
"276","Game Object |cffffffff|Hgameobject:%d|h[%s]|h|r (GUID: %u) turned","NULL"
"277","Game Object |cffffffff|Hgameobject:%d|h[%s]|h|r (GUID: %u) moved","NULL"
"278","You must select a vendor","NULL"
"279","You must send id for item","NULL"
"280","Vendor has too many items (max 128)","NULL"
"281","You can't kick yourself, log out instead.","NULL"
"282","Player %s kicked.","NULL"
"283","You have disabled %s's chat for %u minutes, effective at the player's next login. Reason: %s.","NULL"
"284","Accepting Whisper: %s","NULL"
"285","Accepting Whisper: ON","NULL"
"286","Accepting Whisper: OFF","NULL"
"287","Creature (GUID: %u) not found","NULL"
"288","%s either isn't dead or has no loot available.","NULL"
"289","LOOT INFO: %s (%d)","NULL"
"290","├ %s (%d items):","NULL"
"291","├─ %dx |c%08x|Hitem:%d:0:0:0:0:0:0:0:0|h[%s]|h|r (#%05d)","NULL"
"292","├ Money: %01d|TInterface\MoneyFrame\UI-GoldIcon:0:0:2:0|t %02d|TInterface\MoneyFrame\UI-SilverIcon:0:0:2:0|t %02d|TInterface\MoneyFrame\UI-CopperIcon:0:0:2:0|t","NULL"
"293","├ %s:","NULL"
"294","├─ %s (%d items):","NULL"
"295","├── %dx |c%08x|Hitem:%d:0:0:0:0:0:0:0:0|h[%s]|h|r (#%05d)","NULL"
"296","Ticket deleted.","NULL"
"297","Wander distance changed to: %f","NULL"
"298","Spawn time changed to: %i","NULL"
"299","%s's honor points were set to %u.","NULL"
"300","Your chat has been disabled for %u minutes. By: %s ,Reason: %s.","NULL"
"301","You have disabled %s's chat for %u minutes. Reason: %s.","NULL"
"302","Player's chat is already enabled.","NULL"
"303","Your chat has been enabled.","NULL"
"304","You have enabled %s's chat.","NULL"
"305","Faction %s (%u) reputation of %s was set to %5d!","NULL"
"306","The arena points of %s was set to %u!","NULL"
"307","No faction found!","NULL"
"308","Faction %i unknown!","NULL"
"309","Invalid parameter %s","NULL"
"310","delta must be between 0 and %d (inclusive)","NULL"
"311","%d - |cffffffff|Hfaction:%d|h[%s]|h|r","NULL"
"312"," [visible]","NULL"
"313"," [at war]","NULL"
"314"," [peace forced]","NULL"
"315"," [hidden]","NULL"
"316"," [invisible forced]","NULL"
"317"," [inactive]","NULL"
"318","Hated","NULL"
"319","Hostile","NULL"
"320","Unfriendly","NULL"
"321","Neutral","NULL"
"322","Friendly","NULL"
"323","Honored","NULL"
"324","Revered","NULL"
"325","Exalted","NULL"
"326","Faction %s (%u) can't have reputation.","NULL"
"327"," [no reputation]","NULL"
"328","Characters at account %s (Id: %u)","NULL"
"329","  %s (GUID %u) %s","NULL"
"330","No players found!","NULL"
"331","Extended item cost %u does not exist.","NULL"
"332","GM mode is ON","NULL"
"333","GM mode is OFF","NULL"
"334","GM Chat Badge is ON","NULL"
"335","GM Chat Badge is OFF","NULL"
"336","You repair all of %s's items.","NULL"
"337","All your items were repaired by %s.","NULL"
"338","You set waterwalk mode %s for %s.","NULL"
"339","Your waterwalk mode %s by %s.","NULL"
"340","%s is now following you.","NULL"
"341","%s is not following you.","NULL"
"342","%s is now not following you.","NULL"
"343","Creature (Entry: %u) cannot be tamed.","NULL"
"344","You already have a pet.","NULL"
"345","customization for player %s will be requested at next login.","NULL"
"346","customization for player %s (GUID #%u) will be requested at next login.","NULL"
"347","TaxiNode ID %u not found!","NULL"
"348","Game Object (Entry: %u) contains invalid data and can't be spawned.","NULL"
"349","%d (idx:%d) - |cffffffff|Htitle:%d|h[%s %s]|h|r %s %s ","NULL"
"350","%d (idx:%d) - [%s %s] %s %s ","NULL"
"351","No titles found!","NULL"
"352","Invalid title id: %u","NULL"
"353","Title %u (%s) added to known titles list for player %s.","NULL"
"354","Title %u (%s) removed from known titles list for player %s.","NULL"
"355","Title %u (%s) set as current selected title for player %s.","NULL"
"356","Current selected title for player %s is now reset to not known.","NULL"
"357","Cheat Command Status:","NULL"
"358","Godmode: %s.","NULL"
"359","Casttime: %s.","NULL"
"360","Cooldown: %s.","NULL"
"361","Power: %s.","NULL"
"362","Waterwalk: %s.","NULL"
"363","Player %s cannot whisper you any longer.","NULL"
"364","Taxinodes: %s.","NULL"
"365","### USAGE: .achievement add <achievement>
Add an achievement, specified by ID or link, to the targeted player.","NULL"
"366","### USAGE: .account set addon [<accountname>] <expansion>
Sets the specified account's, or targeted player's account's expansion level. 0 = WoW, 1 = TBC, 2 = WotLK.","NULL"
"367","### USAGE: .account set sec regmail <accountname> <email> <confirm email>
Replaces the registration email on record for the specified account.","NULL"
"368","### USAGE: .account set sec email <accountname> <email> <confirm email>
Replaces the email on record for the specified account.","NULL"
"369","### USAGE: .account set 2fa <accountname> <secret>
Provide a base32 encoded secret to setup two-factor authentication for the account.
Specify 'off' to disable two-factor authentication for the account.","NULL"
"370","### USAGE: .account set seclevel [<accountname>] <level> [<realm>]
Set the security level for the specified account, or the targeted player's account, to the specified level on the specified realm.
Cannot be used on self. Levels range from 0 (player) to 3 (administrator). Realm ID defaults to -1 (all realms).","NULL"
"371","### USAGE: .account set password <accountname> <password> <confirm password>
Changes the password for the specified account.","NULL"
"372","### USAGE: .account 2fa setup
Begins setup of two-factor authentication for this account.","NULL"
"373","### USAGE: .account 2fa remove <token>
Provide a current 2FA token to disable two-factor authentication for this account.","NULL"
"374","### USAGE: .account addon <expansion>
Sets this account's expansion level. 0 = WoW, 1 = TBC, 2 = WotLK.","NULL"
"375","### USAGE: .account create <name> <password> [<email>]
Creates a new account with the specified password and email (if specified).","NULL"
"376","### USAGE: .account delete <name>
Deletes the specified account. Cannot be used on self while connected.","NULL"
"377","### USAGE: .account email <old email> <password> <new email> <confirm new email>
Changes the email on record for this account.","NULL"
"378","### USAGE: .account onlinelist
Shows a list of all currently-connected accounts.","NULL"
"379","### USAGE: .account lock country <on/off>
While enabled, you will only be able to log in from IP addresses in your current country.","NULL"
"380","### USAGE: .account lock ip <on/off>
While enabled, you will only be able to log in from your current IP address.","NULL"
"381","### USAGE: .account password <old password> <new password> <confirm password> [<email>]
Changes the password for this account.
Whether you need to specify your email address depends on the server settings.","NULL"
"382","### USAGE: .account
Prints information about the current account.","NULL"
"383","### USAGE: .learn <spell> [all]
Teaches the specified spell.
If 'all' is specified, teaches all ranks of the spell instead.","NULL"
"384","### USAGE: .unlearn <spell> [all]
Removes the specified spell from the target's spellbook.
If 'all' is specified, removes all ranks of the spell instead.","NULL"
"385","### USAGE: .learn my quests
Teaches you any spells your class can obtain through class quests.","NULL"
"386","### USAGE: .learn my trainer
Teaches you any spells you could currently train at your class trainer.","NULL"
"387","### USAGE: .learn all blizzard
Teaches you all available Blizzard internal spells.","NULL"
"388","### USAGE: .learn all debug
Teaches you a set of spells useful for testing raid encounters.
You shouldn't be using GM commands during testing - they can cause weird behavior on their own!","NULL"
"389","### USAGE: .learn all crafts [<player>]
Teaches the specified player, or target/self, all available professions and recipes","NULL"
"390","### USAGE: .learn all default [<player>]
Teaches the specified player, or target/self, all default spells for their race/class, as well as any quests they have unlocked through quests.","NULL"
"391","### USAGE: .learn all languages
Teaches all available languages.","NULL"
"392","### USAGE: .learn all recipes <profession>
Teaches all recipes for the given profession.","NULL"
"393","### USAGE: .learn all talents
Unlocks all talents for the player's class.","NULL"
"394","### USAGE: .learn all pettalents
Unlocks all talents for the player's pet.","NULL"
"400","|cffff0000[System Message]:|rScripts reloaded","NULL"
"401","Security level of account %s changed to %i.","NULL"
"402","%s changed your security level to %i.","NULL"
"403","Your security level is too low for this action.","NULL"
"404","Creature movement disabled.","NULL"
"405","Creature movement enabled.","NULL"
"406","Weather can't be changed for this zone.","NULL"
"407","Weather system disabled at server.","NULL"
"408","%s is banned for %s. Reason: %s.","NULL"
"409","%s is banned permanently for %s.","NULL"
"410","%s %s not found","NULL"
"411","%s unbanned.","NULL"
"412","There was an error removing the ban on %s.","NULL"
"413","Account %s does not exist.","NULL"
"414","There is no such character.","NULL"
"415","There is no such IP in banlist.","NULL"
"416","Account %s has never been banned.","NULL"
"417","Ban history for account %s:","NULL"
"418","Ban Date: %s Bantime: %s Still active: %s  Reason: %s Set by: %s","NULL"
"419","Inf.","NULL"
"420","Never","NULL"
"421","Yes","NULL"
"422","No","NULL"
"423","IP: %s
Ban Date: %s
Unban Date: %s
Remaining: %s
Reason: %s
Set by: %s","NULL"
"424","There is no matching IPban.","NULL"
"425","There is no matching account.","NULL"
"426","There is no banned account owning a character matching this part.","NULL"
"427","The following IPs match your pattern:","NULL"
"428","The following accounts match your query:","NULL"
"429","You learned many spells/skills.","NULL"
"430","You learned all spells for class.","NULL"
"431","You learned all talents for class.","NULL"
"432","You learned all languages.","NULL"
"433","You learned all crafts, skills and recipes.","NULL"
"434","Could not find '%s'","NULL"
"435","Invalid item id: %u","NULL"
"436","No items found!","NULL"
"437","Invalid gameobject id: %u","NULL"
"438","Found items %u: %u ( inventory %u mail %u auction %u guild %u)","NULL"
"439","Found gameobjects %u: %u ","NULL"
"440","Invalid creature id: %u","NULL"
"441","Found creatures %u: %u ","NULL"
"442","No area found!","NULL"
"443","No item sets found!","NULL"
"444","No skills found!","NULL"
"445","No spells found!","NULL"
"446","No quests found!","NULL"
"447","No creatures found!","NULL"
"448","No gameobjects found!","NULL"
"449","Graveyard #%u doesn't exist.","NULL"
"450","Graveyard #%u is already linked to zone #%u (current).","NULL"
"451","Graveyard #%u linked to zone #%u (current).","NULL"
"452","Graveyard #%u can not be linked to subzone or nonexistent zone #%u (internal error).","NULL"
"453","│Player %s %s (guid: %u)","NULL"
"454","No faction found in Graveyard with id= #%u, please update your database.","NULL"
"455","Invalid team, please update your database.","NULL"
"456","any","NULL"
"457","alliance","NULL"
"458","horde","NULL"
"459","Graveyard #%u (faction: %s) is nearest from linked to zone #%u.","NULL"
"460","Zone #%u doesn't have linked graveyards.","NULL"
"461","Zone #%u doesn't have linked graveyards for faction: %s.","NULL"
"462","Teleport location already exists!","NULL"
"463","Teleport location added.","NULL"
"464","Teleport location NOT added: database error.","NULL"
"465","Teleport location deleted.","NULL"
"466","No taxinodes found!","NULL"
"467","Target unit has %d auras:","NULL"
"468","id: %d %s effmask: %d charges: %d stack: %d slot %d duration: %d maxduration: %d %s %s caster: %s guid: %d","NULL"
"469","Target unit has %d auras of type %d:","NULL"
"470","id: %d eff: %d amount: %d","NULL"
"471","Quest %u not found.","NULL"
"472","Quest %u is started from an item. Add the item to your inventory and start the quest normally: .additem %u","NULL"
"473","Quest removed.","NULL"
"474"," [rewarded]","NULL"
"475"," [complete]","NULL"
"476"," [active]","NULL"
"477","%s's Fly Mode %s","NULL"
"478","Opcode %u sent to %s","NULL"
"479","Character loaded successfully!","NULL"
"480","Failed to load the character!","NULL"
"481","Character dumped successfully!","NULL"
"482","Character dump failed!","NULL"
"483","Spell %u broken and not allowed to cast or learn!","NULL"
"484","Skill %u (%s) for player %s set to %u and current maximum set to %u (without permanent (talent) bonuses).","NULL"
"485","Player %s must have the skill %u (%s) before using this command.","NULL"
"486","Invalid skill id (%u)","NULL"
"487","You learned default GM spells/skills.","NULL"
"488","You already know that spell.","NULL"
"489","Target(%s) already knows that spell.","NULL"
"490","%s doesn't know that spell.","NULL"
"491","You have already unlearnt that spell.","NULL"
"492","All spell cooldowns removed for %s.","NULL"
"493","Spell %u cooldown removed for %s.","NULL"
"494","Command : Additem, itemId = %i, amount = %i to %s","NULL"
"495","Command : Additemset, itemsetId = %i","NULL"
"496","Removed itemID = %i, amount = %i from %s","NULL"
"497","Cannot create item '%i' (amount: %i)","NULL"
"498","You need to provide a guild name!","NULL"
"499","Player not found!","NULL"
"500","That player is already in a guild.","NULL"
"501","The guild was NOT created. Check if that guild already exists.","NULL"
"502","No items from the itemset '%u' were found.","NULL"
"503","The distance is: (3D) %f (2D) %f (Exact 3D) %f (Exact 2D) %f yards.","NULL"
"504","Item '%i' '%s' Item Slot %i","NULL"
"505","Item '%i' doesn't exist.","NULL"
"506","Item '%i' '%s' added to slot %i.","NULL"
"507","Item save failed!","NULL"
"508","%d - owner: %s (guid: %u account: %u ) %s","NULL"
"509","%d - sender: %s (guid: %u account: %u ) receiver: %s (guid: %u account: %u ) %s","NULL"
"510","%d - owner: %s (guid: %u account: %u ) %s","NULL"
"511","Wrong link type!","NULL"
"512","%d - |cffffffff|Hitem:%d:0:0:0:0:0:0:0:0|h[%s]|h|r ","NULL"
"513","%d - |cffffffff|Hquest:%d:%d|h[%s]|h|r %s","NULL"
"514","%d - |cffffffff|Hcreature_entry:%d|h[%s]|h|r ","NULL"
"515","%d - |cffffffff|Hcreature:%d|h[%s X:%f Y:%f Z:%f MapId:%d]|h|r %s %s","NULL"
"516","%d - |cffffffff|Hgameobject_entry:%d|h[%s]|h|r ","NULL"
"517","%d (Entry: %d) - |cffffffff|Hgameobject:%d|h[%s X:%f Y:%f Z:%f MapId:%d]|h|r %s %s","NULL"
"518","%d - |cffffffff|Hitemset:%d|h[%s %s]|h|r ","NULL"
"519","|cffffffff|Htele:%s|h[%s]|h|r ","NULL"
"520","%d - |cffffffff|Hspell:%d|h[%s]|h|r ","NULL"
"521","%d - |cffffffff|Hskill:%d|h[%s %s]|h|r %s %s","NULL"
"522","Game Object (Entry: %u) not found","NULL"
"523",">> Game Object %s (GUID: %u) at %f %f %f. Orientation %f.","NULL"
"524","Selected object:
|cffffffff|Hgameobject:%d|h[%s]|h|r GUID: %u ID: %u
X: %f Y: %f Z: %f MapId: %u
Orientation: %f
Phasemask %u","NULL"
"525",">> Add Game Object '%u' (%s) (GUID: %u) added at '%f %f %f'.","NULL"
"526","%s (lowguid: %u) movement generators stack:","NULL"
"527","   Idle","NULL"
"528","   Random","NULL"
"529","   Waypoint","NULL"
"531","   Confused","NULL"
"532","   Targeted to player %s (lowguid %u)","NULL"
"533","   Targeted to creature %s (lowguid %u)","NULL"
"534","   Targeted to <NULL>","NULL"
"535","   Home movement to (X:%f Y:%f Z:%f)","NULL"
"536","   Home movement used for player?!?","NULL"
"537","   Taxi flight","NULL"
"538","   Unknown movement generator (%u)","NULL"
"539","NPC currently selected by player:
Name: %s
SpawnID: %u, current GUID low: %u.
Entry: %u.
Faction: %u.
NPC Flags: %u.
DisplayID: %u (Native: %u).","NULL"
"540","Level: %u.","NULL"
"541","Health (base): %u. (max): %u. (current): %u.","NULL"
"542","Unit Flags 2: %u.
Dynamic Flags: %u.
Faction Template: %u.","NULL"
"543","Loot: %u Pickpocket: %u Skinning: %u","NULL"
