"id","locale","achievment","achievment_condition","title","VerifiedBuild"
940,"ruRU","Зеленые холмы Тернистой долины","Выполните все задания Хеминга Эрнестуэя в Тернистой долине, включая финальное – ""Охотник на крупную дичь"".",,-1
946,"ruRU","Серебряный Рассвет","Добейтесь того, чтобы вас превозносил Серебряный Рассвет.",,-1
947,"ruRU","Серебряный Авангард","Добейтесь того, чтобы вас превозносил Серебряный Авангард.",,-1
972,"ruRU","Конфета или жизнь!","Зачерпните пригоршню конфет из кулька конфет в одной из таверн.",,-1
1042,"ruRU","Сколько раз вы обнимали","Сколько раз вы обнимали",,-1
1057,"ruRU","Смерти в команде 2 на 2","Смерти в команде 2 на 2",,-1
1068,"ruRU","Убийства Кели'дана Разрушителя (Кузня Крови)","Убийства Кели'дана Разрушителя (Кузня Крови)",,-1
1091,"ruRU","Убийства Эдвина ван Клифа (Мертвые копи)","Убийства Эдвина ван Клифа (Мертвые копи)",,-1
1149,"ruRU","Количество сбросов талантов","Количество сбросов талантов",,-1
1184,"ruRU","Странное пиво","Попробуйте фестивальные сорта пива, перечисленные ниже.",,-1
1197,"ruRU","Всего убийств","Всего убийств",,-1
1199,"ruRU","Освоенные профессии","Освоенные профессии",,-1
1242,"ruRU","Убийства Ингвара Расхитителя (Крепость Утгард)","Убийства Ингвара Расхитителя (Крепость Утгард)",,-1
1264,"ruRU","Борейская тундра","Исследуйте Борейскую тундру, открыв все ее области на карте.",,-1
1283,"ruRU","Повелитель подземелий","Добейтесь указанных ниже достижений в подземельях классической игры.",,-1
1308,"ruRU","Победа на Береге Древних","Одержите победу на Береге Древних.",,-1
1487,"ruRU","Смертельные удары","Смертельные удары",,-1
1501,"ruRU","Общее кол-во смертей от других игроков","Общее кол-во смертей от других игроков",,-1
1524,"ruRU","Уровень навыка кулинарии","Уровень навыка кулинарии",,-1
1527,"ruRU","Наивысший уровень навыка в алхимии","Наивысший уровень навыка в алхимии",,-1
1701,"ruRU","Будь со мной!","Съешьте 8 перечисленных ниже конфет в виде сердечек из пакетика с леденцами.",,-1
1717,"ruRU","Победа на Озере Ледяных Оков","Одержите победу в битве на Озере Ледяных Оков.",,-1
1791,"ruRU","Один дома","Используйте камень возвращения, пока с вами находится сирота.",,-1
1876,"ruRU","Победа над родом Черных драконов (10 игроков)","Убейте Сартариона Ониксового Стража в рейде на 10 игроков.",,-1
2676,"ruRU","Вот оно!","Найдите раскрашенное яйцо.",,-1
2756,"ruRU","Серебряная устремленность","Подготовьтесь к участию в Серебряном турнире, став претендентом от своей фракции.",,-1
2856,"ruRU","Убийства Огненного Левиафана (Ульдуар, 10 игроков)","Убийства Огненного Левиафана (Ульдуар, 10 игроков)",,-1
2886,"ruRU","Осада Ульдуара (10 игроков)","Убейте боссов во время осады Ульдуара в рейде на 10 игроков.",,-1
2887,"ruRU","Осада Ульдуара (25 игроков)","Убейте боссов во время осады Ульдуара в рейде на 25 игроков.",,-1
3579,"ruRU","Гастрономическая баталия","Метните одно из яств в сотрапезника за пиршественным столом.",,-1
3776,"ruRU","Победа на Острове Завоеваний","Одержите победу на Острове Завоеваний.",,-1
3916,"ruRU","Призыв Авангарда (25 игроков)","Одержите верх над всеми боссами во время испытания крестоносца в рейде на 25 игроков.",,-1
3917,"ruRU","Призыв Авангарда (10 игроков)","Одержите верх над всеми боссами во время испытания крестоносца в рейде на 10 игроков.",,-1
4018,"ruRU","Победы над чемпионом-охотником (Испытание чемпиона)","Победы над чемпионом-охотником (Испытание чемпиона)",,-1
4531,"ruRU","Штурм Цитадели (10 игроков)","Убейте первых 4 боссов в Цитадели Ледяной Короны в рейде на 10 игроков.",,-1
4604,"ruRU","Штурм Цитадели (25 игроков)","Убейте первых 4 боссов в Цитадели Ледяной Короны в рейде на 25 игроков.",,-1
4713,"ruRU","Убийства Броньяма (Кузня Душ)",,,-1
7,"ruRU","20-й уровень","Достигните 20-го уровня.",,-1
43,"ruRU","Калимдор","Исследуйте все местности Калимдора.",,-1
59,"ruRU","Смерти в Низине Арати","Смерти в Низине Арати",,-1
95,"ruRU","Среднее количество заданий за день","Среднее количество заданий за день",,-1
122,"ruRU","Повар-умелец","Станьте поваром-умельцем.",,-1
127,"ruRU","Рыболов-умелец","Станьте рыболовом-умельцем.",,-1
132,"ruRU","Умелец оказывать первую помощь","Станьте умельцем в деле оказания первой помощи.",,-1
155,"ruRU","Защитник Низины Арати","Одержите 100 побед в Низине Арати.",,-1
167,"ruRU","Защитник Ущелья Песни Войны","Одержите 100 побед в Ущелье Песни Войны.",,-1
209,"ruRU","Защитник Ока Бури","Одержите 100 побед на Оке Бури.",,-1
219,"ruRU","Защитник Альтеракской долины","Одержите 100 побед в Альтеракской долине.",,-1
252,"ruRU","С некоторой помощью моих друзей…","Одержите 50 почетных побед в облике Маленького Помощника с помощью Чудовольта Мороза.",,-1
260,"ruRU","Чудесный оберег","Получите 12 чудесных браслетов-оберегов.",,-1
271,"ruRU","Зажигательный танец у шеста","Потанцуйте вокруг праздничного шеста в течение 60 секунд, надев костюм праздника Солнцеворота.",,-1
288,"ruRU","Сыт по горло","Объешьтесь тыквовинскими сладостями и заработайте расстройство желудка.",,-1
318,"ruRU","Смерти в стычках с вражеской фракцией",,,-1
320,"ruRU","Проиграно дуэлей","Проиграно дуэлей",,-1
342,"ruRU","Получено эпических предметов","Получено эпических предметов",,-1
378,"ruRU","Наибольшее количество фракций, относящихся к вам с почтением или лучше","Наибольшее количество фракций, относящихся к вам с почтением или лучше",,-1
381,"ruRU","Почетные победы по всему миру","Почетные победы по всему миру",,-1
398,"ruRU","Безжалостность гладиатора","Одержите победу в 100 рейтинговых боях на арене на 80-м уровне.",,-1
467,"ruRU","1-й на сервере! Шаман 80-го уровня","Первый шаман на сервере, достигший 80-го уровня.",,-1
478,"ruRU","Нексус","Убейте боссов Нексуса.",,-1
490,"ruRU","Нексус (героич.)","Убейте боссов Нексуса в героическом режиме.",,-1
504,"ruRU","100 заданий","Выполните 100 заданий.",,-1
513,"ruRU","100 почетных побед в PvP","Одержите 100 почетных побед в PvP.",,-1
523,"ruRU","Превознесение среди 5 фракций","Добейтесь того, чтобы вас превозносили 5 фракций.",,-1
527,"ruRU","Максимальный полученный урон","Максимальный полученный урон",,-1
594,"ruRU","Смерти от Дробителя","Смерти от Дробителя",,-1
606,"ruRU","5 монет наследия","Соберите 5 монет наследия.",,-1
624,"ruRU","Меньше – не значит хуже (10 игроков)","Убейте Сартариона Ониксового Стража и Сумеречных драконов в составе рейда из 8 игроков или менее в рейде на 10 игроков.",,-1
627,"ruRU","Дун Морог","Исследуйте Дун Морог, открыв все его области на карте.",,-1
628,"ruRU","Мертвые копи","Убейте Эдвина ван Клифа.",,-1
648,"ruRU","Кузня Крови","Убейте Кели'дана Разрушителя.",,-1
731,"ruRU","Умелец","Станьте умельцем в любом ремесле.",,-1
736,"ruRU","Мулгор","Исследуйте Мулгор, открыв все его области на карте.",,-1
753,"ruRU","Среднее количество золота за день","Среднее количество золота за день",,-1
764,"ruRU","Пламенный Рыцарь","Добейтесь того, чтобы вас превозносили все фракции дополнения The Burning Crusade, отношения с которыми можно улучшить, сражаясь в подземельях.",,-1
798,"ruRU","Вы были возрождены друидами","Вы были возрождены друидами",,-1
838,"ruRU","Всего боев на арене","Всего боев на арене",,-1
863,"ruRU","Зангартопь","Исследуйте Зангартопь, открыв все ее области на карте.",,-1
918,"ruRU","Смерти в подземельях для 5 игроков","Смерти в подземельях для 5 игроков",,-1
944,"ruRU","В том тоннеле меня любят!","Добейтесь того, чтобы вас превозносила Крепость Древобрюхов.",,-1
949,"ruRU","Клыкаррмагеддон","Добейтесь того, чтобы вас превозносили Калу'ак.",,-1
1047,"ruRU","Вы прятали лицо в ладонях","Вы прятали лицо в ладонях",,-1
1069,"ruRU","Убийства Принца Шаффара (гробницы Маны)","Убийства Принца Шаффара (гробницы Маны)",,-1
1092,"ruRU","Убийства верховного мага Аругала (Крепость Темного Клыка)","Убийства верховного мага Аругала (Крепость Темного Клыка)",,-1
1107,"ruRU","Смерти в команде 3 на 3","Смерти в команде 3 на 3",,-1
1125,"ruRU","Самые часто используемые бинты","Самые часто используемые бинты",,-1
1189,"ruRU","Из огня да в полымя","Выполните 80 заданий на Полуострове Адского Пламени.",,-1
1198,"ruRU","Всего убийств, приносящих честь или опыт","Всего убийств, приносящих честь или опыт",,-1
1201,"ruRU","Профессии, доведенные до совершенства","Профессии, доведенные до совершенства",,-1
1203,"ruRU","Странное пиво","Попробуйте фестивальные сорта пива, перечисленные ниже.",,-1
1263,"ruRU","Ревущий фьорд","Исследуйте Ревущий фьорд, открыв все его области на карте.",,-1
1285,"ruRU","Рейдер старой закалки","Добейтесь указанных ниже достижений в рейдах классической игры.",,-1
1309,"ruRU","Ветеран Берега Древних","Одержите 100 побед на Береге Древних.",,-1
1337,"ruRU","Всего убито разных типов существ","Всего убито разных типов существ",,-1
1358,"ruRU","Борьба в Борейщине","Выполните 150 заданий в Борейской тундре.",,-1
1462,"ruRU","Получено знаков справедливости","Получено знаков справедливости",,-1
1488,"ruRU","Смертельные удары по всему миру","Накапливаются по Азероту, Нордсколу и т.д.",,-1
1504,"ruRU","Убийства Ингвара Расхитителя (Утгард, героич.)","Убийства Ингвара Расхитителя (Утгард, героич.)",,-1
1525,"ruRU","Выполнено ежедневных кулинарных заданий","Выполнено ежедневных кулинарных заданий",,-1
1676,"ruRU","Хранитель мудрости Восточных королевств","Выполните 700 заданий в Восточных королевствах.",,-1
1693,"ruRU","Безумие любви","Добейтесь достижений Любовной Лихорадки, указанных ниже.","Наградное звание: Безумно влюбленный",-1
1718,"ruRU","Ветеран Озера Ледяных Оков","Одержите 100 побед в битве на Озере Ледяных Оков.",,-1
1729,"ruRU","Изучено алхимических рецептов","Изучено алхимических рецептов",,-1
1788,"ruRU","Дурной пример","Побалуйте себя перечисленными ниже сладостями, пока за вами наблюдает сирота.",,-1
1877,"ruRU","Меньше – не значит хуже (25 игроков)","Убейте Сартариона Ониксового Стража и Сумеречных в составе рейда из 20 игроков или менее в рейде на 25 игроков.",,-1
2277,"ruRU","Принято призывов","Принято призывов",,-1
2396,"ruRU","Поле боя, на котором вы были чаще всего","Поле боя, на котором вы были чаще всего",,-1
2417,"ruRU","Любитель шоколада","Съешьте 25 праздничных шоколадных яиц во время празднования Сада чудес.",,-1
2758,"ruRU","Серебряная слава","Заслужите звание искателя славы и право представлять свой народ на Серебряном турнире.",,-1
2857,"ruRU","Убийства Острокрылой (Ульдуар, 10 игроков)","Убийства Острокрылой (Ульдуар, 10 игроков)",,-1
2888,"ruRU","Вестибюль Ульдуара (10 игроков)","Убейте боссов в Вестибюле Ульдуара в рейде на 10 игроков.",,-1
2889,"ruRU","Вестибюль Ульдуара (25 игроков)","Убейте боссов в Вестибюле Ульдуара в рейде на 25 игроков.",,-1
3576,"ruRU","Вот это стряпня!","Приготовьте все блюда Пиршества странников.",,-1
3777,"ruRU","Ветеран Острова Завоеваний","Одержите 100 побед на Острове Завоеваний.",,-1
3812,"ruRU","Призыв великого крестоносца (25 игроков)","Одержите верх над всеми боссами во время испытания великого крестоносца в рейде героической сложности на 25 игроков.",,-1
3918,"ruRU","Призыв великого крестоносца (10 игроков)","Одержите верх над всеми боссами во время испытания великого крестоносца в рейде героической сложности на 10 игроков.",,-1
4019,"ruRU","Победы над чемпионом-охотником (Испытание чемпиона, героич.)","Победы над чемпионом-охотником (Испытание чемпиона, героич.)",,-1
4628,"ruRU","Штурм Цитадели (героич., 10 игроков)","Убейте первых четырех боссов Цитадели Ледяной Короны в рейде на 10 игроков в героическом режиме.",,-1
4632,"ruRU","Штурм Цитадели (героич., 25 игроков)","Убейте первых четырех боссов Цитадели Ледяной Короны в рейде на 25 игроков в героическом режиме.",,-1
4714,"ruRU","Убийства Броньяма (Кузня Душ, героич.)",,,-1
8,"ruRU","30-й уровень","Достигните 30-го уровня.",,-1
34,"ruRU","Покорение фьордов","Выполните 130 заданий в Ревущем фьорде.",,-1
44,"ruRU","Запределье","Исследуйте все местности Запределья.",,-1
56,"ruRU","Смерти в Ущелье Песни Войны","Смерти в Ущелье Песни Войны",,-1
97,"ruRU","Выполнено ежедневных заданий","Выполнено ежедневных заданий",,-1
113,"ruRU","Смерти от изнеможения","Смерти от изнеможения",,-1
123,"ruRU","Повар-искусник","Станьте поваром-искусником.",,-1
128,"ruRU","Рыболов-искусник","Станьте рыболовом-искусником.",,-1
133,"ruRU","Искусник оказания первой помощи","Станьте искусником в деле оказания первой помощи.",,-1
165,"ruRU","Победить всухую в Низине","Выиграйте сражение в Низине Арати со счетом 1600 к 0.",,-1
197,"ruRU","Всего урона нанесено","Всего урона нанесено",,-1
199,"ruRU","Захват флага","Возьмите флаг и отнесите его на свою базу в Ущелье Песни Войны.",,-1
221,"ruRU","Кладбищенский вор Альтерака","50 раз захватите кладбища в Альтеракской долине.",,-1
255,"ruRU","Принеси мне голову… ээ, то есть…","Убейте Всадника без головы.",,-1
259,"ruRU","Бука","Киньте снежок в Кэрна Кровавое Копыто во время празднования Зимнего Покрова.",,-1
333,"ruRU","Всего золота получено из добычи","Всего золота получено из добычи",,-1
341,"ruRU","Подобрано эпических предметов","Подобрано эпических предметов",,-1
350,"ruRU","Кол-во пройденных магических порталов","Кол-во пройденных магических порталов",,-1
363,"ruRU","Сражения в команде 5 на 5","Сражения в команде 5 на 5",,-1
466,"ruRU","1-й на сервере! Друид 80-го уровня","Первый друид на сервере, достигший 80-го уровня.",,-1
480,"ruRU","Азжол-Неруб","Убейте боссов в Азжол-Нерубе.",,-1
491,"ruRU","Азжол-Неруб (героич.)","Убейте боссов Азжол-Неруба в героическом режиме.",,-1
505,"ruRU","250 заданий","Выполните 250 заданий.",,-1
515,"ruRU","500 почетных побед в PvP","Одержите 500 почетных побед в PvP.",,-1
524,"ruRU","Превознесение среди 10 фракций","Добейтесь того, чтобы вас превозносили 10 фракций.",,-1
529,"ruRU","Наибольшее количество фракций, относящихся к вам с уважением или лучше","Наибольшее количество фракций, относящихся к вам с уважением или лучше",,-1
562,"ruRU","Паучий квартал (10 игроков)","Убейте боссов Паучьего Квартала Наксрамаса в рейде на 10 игроков.",,-1
563,"ruRU","Паучий квартал (25 игроков)","Убейте боссов Паучьего Квартала Наксрамаса в рейде на 25 игроков.",,-1
607,"ruRU","10 монет наследия","Получите 10 монет наследия.",,-1
630,"ruRU","Пещеры Стенаний","Убейте Мутануса Пожирателя.",,-1
649,"ruRU","Узилище","Убейте Зыбуна.",,-1
732,"ruRU","Искусник","Станьте искусником в любом ремесле.",,-1
768,"ruRU","Тирисфальские леса","Исследуйте Тирисфальские леса, открыв все их области на карте.",,-1
783,"ruRU","Идеальный штурм","Одержите победу на Оке Бури со счетом 1600 к 0.",,-1
840,"ruRU","Выигранные сражения на поле боя","Выигранные сражения на поле боя",,-1
842,"ruRU","Тельдрассил","Исследуйте Тельдрассил, открыв все его области на карте.",,-1
867,"ruRU","Лес Тероккар","Исследуйте Лес Тероккар, открыв все его области на карте.",,-1
875,"ruRU","Мстительность гладиатора","Одержите победу в 200 рейтинговых боях на арене на 80-м уровне.",,-1
893,"ruRU","Кенарийский боевой гиппогриф","Получите кенарийского боевого гиппогрифа у Кенарийской экспедиции в Зангартопи.",,-1
950,"ruRU","Племя Бешеного Сердца","Добейтесь того, чтобы вас превозносило племя Бешеного Сердца.",,-1
957,"ruRU","Герой племени Зандалар","Добейтесь того, чтобы вас превозносило племя Зандалар.",,-1
1067,"ruRU","Игра на самой маленькой скрипке в мире","Игра на самой маленькой скрипке в мире",,-1
1070,"ruRU","Убийства Охотника Вечности (Побег из Дарнхольда)","Убийства Охотника Вечности (Побег из Дарнхольда)",,-1
1093,"ruRU","Убийства Командира Могрейна (Монастырь Алого ордена)","Убийства Командира Могрейна (Монастырь Алого ордена)",,-1
1108,"ruRU","Смерти в команде 5 на 5","Смерти в команде 5 на 5",,-1
1145,"ruRU","Король Огненного Солнцеворота","Выполните задание ""Награда вора"", похитив огни из вражеских столиц.",,-1
1200,"ruRU","Вспомогательные навыки, доведенные до совершенства","Вспомогательные навыки, доведенные до совершенства",,-1
1229,"ruRU","Вы были оживлены друидами","Вы были оживлены друидами",,-1
1231,"ruRU","Убийства Керистразы (Нексус)","Убийства Керистразы (Нексус)",,-1
1265,"ruRU","Драконий Погост","Исследуйте Драконий Погост, открыв все его области на карте.",,-1
1271,"ruRU","Из огня да в полымя","Выполните 90 заданий на Полуострове Адского Пламени.",,-1
1284,"ruRU","Повелитель подземелий Запределья","Добейтесь указанных ниже достижений в подземельях The Burning Crusade.",,-1
1298,"ruRU","Количество различных использованных бинтов","Количество различных использованных бинтов",,-1
1310,"ruRU","Шторм на пляже","Захватите Реликвию титанов меньше чем за четыре минуты.",,-1
1336,"ruRU","Тип чаще всего убиваемых существ","Тип чаще всего убиваемых существ",,-1
1458,"ruRU","Больше всего почетных побед на континенте","Больше всего почетных побед на континенте",,-1
1464,"ruRU","Получено эмблем героизма","Получено эмблем героизма",,-1
1489,"ruRU","Больше всего смертельных ударов на континенте","Больше всего смертельных ударов на континенте",,-1
1532,"ruRU","Наивысший уровень навыка в кузнечном деле","Наивысший уровень навыка в кузнечном деле",,-1
1677,"ruRU","Хранитель мудрости Восточных королевств","Выполните 550 заданий в Восточных королевствах.",,-1
1695,"ruRU","Опасная любовь","Помогите картелю Хитрой Шестеренки нарушить коварные планы Королевской химической компании.",,-1
1707,"ruRU","Безумие любви","Добейтесь достижений Любовной Лихорадки, указанных ниже.","Наградное звание: Безумно влюбленный",-1
1745,"ruRU","Изучено кулинарных рецептов","Изучено кулинарных рецептов",,-1
1755,"ruRU","В пределах досягаемости","Нападите на Озеро Ледяных Оков и одержите победу за 10 минут или быстрее.",,-1
1789,"ruRU","Ежедневные обязанности","Выполните пять ежедневных заданий в сопровождении сиротки.",,-1
1936,"ruRU","Что лопают зайцелопы?","Получите спутника зайцелопа.",,-1
2219,"ruRU","Смерти в подземельях для 5 ч. в героическом режиме","Смерти в подземельях для 5 ч. в героическом режиме",,-1
2418,"ruRU","Шокоголик","Съешьте 100 праздничных шоколадных яиц во время празднования Сада чудес.",,-1
2772,"ruRU","На колени перед победителем!","Одолейте другого игрока на Серебряном турнире в битве на скакунах.",,-1
2858,"ruRU","Убийства Повелителя Горнов Игниса (Ульдуар, 10 игроков)","Убийства Повелителя Горнов Игниса (Ульдуар, 10 игроков)",,-1
2890,"ruRU","Хранители Ульдуара (10 игроков)","Убейте Хранителей Ульдуара в рейде на 10 игроков.",,-1
2891,"ruRU","Хранители Ульдуара (25 игроков)","Убейте Хранителей Ульдуара в рейде на 25 игроков.",,-1
3577,"ruRU","Вот это стряпня!","Приготовьте все блюда Пиршества странников.",,-1
3797,"ruRU","Боль в спине (10 игроков)","Победите Ледяного Рева в рейде на 10 игроков с двумя или более снобольдами.",,-1
3813,"ruRU","Боль в спине (25 игроков)","Победите Ледяного Рева в рейде на 25 игроков с четырьмя или более снобольдами.",,-1
3845,"ruRU","Легенда Острова Завоеваний","В течение одной битвы на Острове Завоеваний нападите на базу, защитите базу, уничтожьте транспортное средство и убейте персонажа.",,-1
4048,"ruRU","Победы над чемпионом-магом (Испытание чемпиона)","Победы над чемпионом-магом (Испытание чемпиона)",,-1
4528,"ruRU","Чумодельня (10 игроков)","Убейте всех боссов Чумодельни в Цитадели Ледяной Короны в рейде на 10 игроков.",,-1
4605,"ruRU","Чумодельня (25 игроков)","Убейте всех боссов Чумодельни в Цитадели Ледяной Короны в рейде на 25 игроков.",,-1
4715,"ruRU","Убийства Пожирателя Душ (Кузня Душ)",,,-1
9,"ruRU","40-й уровень","Достигните 40-го уровня.",,-1
45,"ruRU","Нордскол","Исследуйте все местности Нордскола.","Награда: гербовая накидка исследователя",-1
108,"ruRU","Убито животных","Убито животных",,-1
114,"ruRU","Смерти от падения","Смерти от падения",,-1
124,"ruRU","Мастер кулинарии","Станьте мастером кулинарии.",,-1
129,"ruRU","Рыболов-мастер","Станьте рыболовом-мастером.",,-1
134,"ruRU","Мастер оказания первой помощи","Станьте мастером в деле оказания первой помощи.",,-1
158,"ruRU","Ловкость рук и резвость ног","Захватите 50 флагов в Низине Арати.",,-1
200,"ruRU","Неутомимый защитник","Верните 50 флагов, защищая свою базу в Ущелье Песни Войны.",,-1
222,"ruRU","Защита башен","50 раз защитите башни в Альтеракской долине.",,-1
248,"ruRU","Воскресный костюм","Найдите белую рубашку под смокинг и черные брюки под смокинг в раскрашенных яйцах во время празднования Сада чудес.",,-1
289,"ruRU","Спаситель Тыквовина","Выполните одно из заданий для спасения деревни от Всадника без головы.",,-1
326,"ruRU","Получено золота в награду за задания","Получено золота в награду за задания",,-1
336,"ruRU","Получено легендарных предметов","Получено легендарных предметов",,-1
345,"ruRU","Количество выпитых зелий здоровья","Количество выпитых зелий здоровья",,-1
362,"ruRU","Победы в команде 5 на 5","Победы в команде 5 на 5",,-1
383,"ruRU","Почетные победы на арене","Почетные победы на арене",,-1
465,"ruRU","1-й на сервере! Паладин 80-го уровня","Первый паладин на сервере, достигший 80-го уровня.",,-1
481,"ruRU","Ан'кахет: Старое Королевство","Убейте боссов в зоне Ан'кахет: Старое Королевство.",,-1
492,"ruRU","Ан'кахет: Старое Королевство (героич.)","Убейте боссов Ан'кахет: Старое Королевство в героическом режиме.",,-1
506,"ruRU","500 заданий","Выполните 500 заданий.",,-1
516,"ruRU","1000 почетных побед в PvP","Одержите 1000 почетных побед в PvP.",,-1
521,"ruRU","Превознесение среди 15 фракций","Добейтесь того, чтобы вас превозносили 15 фракций.",,-1
528,"ruRU","Получено единиц урона","Получено единиц урона",,-1
564,"ruRU","Квартал Мерзости (10 игроков)","Убейте боссов Квартала Мерзости Наксрамаса в рейде на 10 игроков.",,-1
565,"ruRU","Квартал Мерзости (25 игроков)","Убейте боссов Квартала Мерзости Наксрамаса в рейде на 25 игроков.",,-1
608,"ruRU","25 монет наследия","Соберите 25 монет наследия.",,-1
631,"ruRU","Крепость Темного Клыка","Убейте верховного мага Аругала.",,-1
650,"ruRU","Нижетопь","Убейте Черную Охотницу.",,-1
733,"ruRU","Мастер","Станьте мастером в любой профессии.",,-1
759,"ruRU","Среднее кол-во ежедневных заданий за день","Среднее кол-во ежедневных заданий за день",,-1
784,"ruRU","Покорение Ока Бури","Выиграйте сражение на Оке Бури 10 раз, удерживая контроль над 4 базами.",,-1
799,"ruRU","Ваш дух возвращали в тело шаманы","Ваш дух возвращали в тело шаманы",,-1
859,"ruRU","Леса Вечной Песни","Исследуйте Леса Вечной Песни, открыв все их области на карте.",,-1
860,"ruRU","Остров Лазурной Дымки","Исследуйте остров Лазурной Дымки, открыв все его области на карте.",,-1
866,"ruRU","Награнд","Исследуйте Награнд, открыв все его области на карте.",,-1
876,"ruRU","Жестокость гладиатора","Одержите победу в 300 рейтинговых боях на арене на 80-м уровне.","Награда: гербовая накидка грубой силы",-1
894,"ruRU","Пролетая над гнездами Скеттиса","Добейтесь того, чтобы вас превозносили Стражи Небес Ша'тар.",,-1
917,"ruRU","Смерти в рейдах для 10 игроков","Смерти в рейдах на 10 игроков",,-1
924,"ruRU","Наибольшее количество фракций Нордскола, которые вас превозносят","Наибольшее количество фракций Нордскола, которые вас превозносят",,-1
951,"ruRU","Оракулы","Добейтесь того, чтобы вас превозносили Оракулы.",,-1
955,"ruRU","Гидраксианские Повелители Вод","Добейтесь того, чтобы вас превозносили Гидраксианские Повелители Вод.",,-1
1022,"ruRU","Страж огня Восточных королевств","Почтите огни Восточных королевств.",,-1
1066,"ruRU","Сколько раз вы рассмеялись","Сколько раз вы рассмеялись",,-1
1071,"ruRU","Убийства Зыбуна (Узилище)","Убийства Зыбуна (Узилище)",,-1
