52;"Invalid item count ({}) for item {}";"Недопустимое количество элементов ({}) для элемента {}"
53;"Mail can't have more {} item stacks";"Почта не может иметь более {} стеков элементов"
54;"The new passwords do not match";"Новые пароли не совпадают"
55;"Your password can't be longer than 16 characters (client limit), password not changed!";"Ваш пароль не может быть длиннее 16 символов (ограничение клиента), пароль не менялся!"
56;"Current Message of the day:  {}";"Текущее сообщение дня: {}"
57;"Using World DB: {}";"Использование мировой базы данных: {}"
58;"Using script library: {}";"Использование библиотеки скриптов: {}"
59;"Using creature EventAI: {}";"Использование существа EventAI: {}"
60;"Online players: {} (max: {})";"Онлайн-игроков: {} (макс.: {})"
61;"Up to {} expansion allowed now.";"Сейчас разрешено расширение до {}."
62;"One on more parameters have incorrect values";"Один или несколько параметров имеют неверные значения"
63;"Wrong parameter id: {}, does not exist";"Неверный идентификатор параметра: {}, не существует"
64;"Wrong parameter realmId: {}";"Неверный параметр realmId: {}"
65;"Account {} ({}) granted permissions:";"Аккаунту {} ({}) предоставлены разрешения:"
66;"Account {} ({}) denied permissions:";"Аккаунту {} ({}) отказано в разрешениях:"
67;"Account {} ({}) inherited permissions by sec level {}:";"Аккаунт {} ({}) унаследовал разрешения на уровне сек {}:"
68;"Permissions:";"Разрешения:"
69;"Linked permissions:";"Связанные разрешения:"
70;"Empty List";"Пустой список"
71;"- {} ({})";"- {} ({})"
72;"Couldn't grant permission {} ({}) realmId {}. Account {} ({}) already has that permission";"Не удалось предоставить разрешение {} ({}) realmId {}. У учетной записи {} ({}) уже есть это разрешение."
73;"Couldn't grant permission {} ({}) realmId {}. Account {} ({}) has that permission in deny list";"Не удалось предоставить разрешение {} ({}) realmId {}. Аккаунт {} ({}) имеет это разрешение в списке запрещенных"
74;"Granted permission {} ({}) realmId {} to account {} ({})";"Предоставлено разрешение {} ({}) realmId {} для учетной записи {} ({})"
75;"Couldn't deny permission {} ({}) realmId {}. Account {} ({}) already has that permission";"Не удалось отклонить разрешение {} ({}) realmId {}. У учетной записи {} ({}) уже есть это разрешение."
76;"Couldn't deny permission {} ({}) realmId {}. Account {} ({}) has that permission in deny list";"Не удалось отклонить разрешение {} ({}) realmId {}. Аккаунт {} ({}) имеет это разрешение в списке запрещенных"
77;"Denied permission {} ({}) realmId {} to account {} ({})";"Отказано в разрешении {} ({}) realmId {} для учетной записи {} ({})"
78;"Revoked permission {} ({}) realmId {} to account {} ({})";"Отозвано разрешение {} ({}) realmId {} для учетной записи {} ({})"
79;"Couldn't revoke permission {} ({}) realmId {}. Account {} ({}) does not have that permission";"Не удалось отозвать разрешение {} ({}) realmId {}. У учетной записи {} ({}) нет такого разрешения"
80;"BattleGround victories in the last 7 days Alliance: {} Horde: {}";"Победы в BattleGround за последние 7 дней Альянс: {} Орда: {}"
81;"BattleGround scores storing is disabled!";"Сохранение очков BattleGround отключено!"
87;"UNKNOWN_ERROR";"НЕИЗВЕСТНАЯ ОШИБКА"
88;"Two-factor authentication commands are not properly setup.";"Команды двухфакторной аутентификации настроены неправильно."
89;"Two-factor authentication is already enabled for this account.";"Для этой учетной записи уже включена двухфакторная аутентификация."
90;"Invalid two-factor authentication token specified.";"Указан недопустимый токен двухфакторной аутентификации."
91;"In order to complete setup, you'll need to set up the device you'll be using as your second factor. Your 2FA key: {} Once you have set up your device, confirm by running .account 2fa setup <token> with the generated token.";"Чтобы завершить настройку, вам нужно настроить устройство, которое вы будете использовать в качестве второго фактора. Ваш ключ 2FA: {} После того, как вы настроили свое устройство, подтвердите, запустив .account 2fa setup <token> со сгенерированным токеном."
92;"Two-factor authentication has been successfully set up.";"Двухфакторная аутентификация успешно настроена."
93;"Two-factor authentication is not enabled for this account.";"Для этой учетной записи не включена двухфакторная аутентификация."
94;"To remove two-factor authentication, please specify a fresh two-factor token from your authentication device.";"Чтобы удалить двухфакторную аутентификацию, укажите новый токен двухфакторной аутентификации с вашего устройства аутентификации."
95;"Two-factor authentication has been successfully disabled.";"Двухфакторная аутентификация успешно отключена."
96;"The guild name '{}' is already taken";"Название гильдии '{}' уже занято"
97;"Changed guild name '{}' to '{}'";"Название гильдии '{}' изменено на '{}'"
98;"'{}' already exists as character name, choose another one";"'{}' уже существует как имя персонажа, выберите другое"
99;"Player '{}' forced rename to '{}'";"Игрок '{}' принудительно переименовывается в '{}'"
100;"Global notify:";"Глобальное уведомление:"
101;"Map: {} ({}) Zone: {} ({}) Area: {} ({}) Phase: {} X: {} Y: {} Z: {} Orientation: {} grid[{},{}]cell[{},{}] InstanceID: {}  ZoneX: {} ZoneY: {} GroundZ: {} FloorZ: {} Have height data (Map: {} VMap: {} MMap: {})";"Карта: {} ({}) Зона: {} ({}) Область: {} ({}) Фаза: {} X: {} Y: {} Z: {} Ориентация: {} сетка[{},{ }]cell[{},{}] InstanceID: {} ZoneX: {} ZoneY: {} GroundZ: {} FloorZ: {} Имеются данные о высоте (Map: {} VMap: {} MMap: {})"
102;"{} is already being teleported.";"{} уже телепортируется."
103;"You can summon a player to your instance only if he is in your party with you as leader.";"Вы можете призвать игрока в свой инстанс, только если он находится в вашей группе с вами в качестве лидера."
104;"You cannot go to the player's instance because you are in a party now.";"Вы не можете зайти в инстанс игрока, потому что сейчас находитесь в группе."
105;"You can go to the player's instance while not being in his party only if your GM mode is on.";"Вы можете зайти в подземелье игрока, не находясь в его группе, только если у вас включен режим GM."
106;"You can not go to player {} from instance to instance.";"Вы не можете перейти к игроку {} из экземпляра в экземпляр."
107;"You can not summon player {} from instance to instance.";"Вы не можете вызывать игрока {} из экземпляра в экземпляр."
108;"You are summoning {}{}.";"Вы вызываете {}{}."
109;"You are being summoned by {}.";"Вас вызывает {}."
110;"You are teleporting {}{} to {}.";"Вы телепортируете {}{} в {}."
111;"You are being teleported by {}.";"Вас телепортирует {}."
112;"Player ({}) does not exist.";"Игрок ({}) не существует."
113;"Appearing at {}'s location.";"Появляется в местоположении {}."
114;"{} is appearing to your location.";"{} отображается в вашем местоположении."
115;"Incorrect values.";"Неверные значения."
116;"No character selected.";"Не выбран персонаж."
117;"{} is not in a group.";"{} не входит в группу."
118;"You changed HP of {} to {}/{}.";"Вы изменили HP с {} на {}/{}."
119;"{} changed your HP to {}/{}.";"{} изменил ваш HP на {}/{}."
120;"You changed MANA of {} to {}/{}.";"Вы изменили MANA с {} на {}/{}."
121;"{} changed your MANA to {}/{}.";"{} изменил ваш MANA на {}/{}."
122;"You changed ENERGY of {} to {}/{}.";"Вы изменили ЭНЕРГИЮ {} на {}/{}."
123;"{} changed your ENERGY to {}/{}.";"{} изменил вашу ЭНЕРГИЮ на {}/{}."
124;"Current energy: {}";"Текущая энергия: {}"
125;"You changed rage of {} to {}/{}.";"Вы изменили ярость {} на {}/{}."
126;"{} changed your rage to {}/{}.";"{} изменил вашу ярость на {}/{}."
127;"You changed level of {} to {}.";"Вы изменили уровень {} на {}."
128;"GUID {}, faction is {}, flags is {}, npcflag is {}, DY flag is {}";"GUID {}, фракция {}, флаги {}, npcflag {}, флаг DY {}"
129;"Wrong faction: {} (not found in factiontemplate.dbc).";"Неверная фракция: {} (не найдено в factiontemplate.dbc)."
130;"You changed GUID={} 's Faction to {}, flags to {}, npcflag to {}, dyflag to {}.";"Вы изменили фракцию GUID={} на {}, flags на {}, npcflag на {}, dyflag на {}."
131;"You changed the spellflatid={}, val= {}, mark ={} to {}.";"Вы изменили заклинание splflatid={}, val= {}, mark ={} на {}."
132;"{} changed your spellflatid={}, val= {}, mark ={}.";"{} изменил ваш spellflatid={}, val= {}, mark ={}."
133;"{} has access to all taxi nodes now (until logout).";"{} теперь имеет доступ ко всем узлам такси (до выхода из системы)."
134;"{} has no more access to all taxi nodes now (only visited accessible).";"{} больше не имеет доступа ко всем узлам такси (доступны только посещенные)."
135;"{} has given you access to all taxi nodes (until logout).";"{} предоставил вам доступ ко всем узлам такси (до выхода из системы)."
136;"{} has removed access to all taxi nodes (only visited still accessible).";"{} удалил доступ ко всем узлам такси (по-прежнему доступны только посещенные)."
137;"You set all speeds to {:2.2f} from normal of {}.";"Вы устанавливаете все скорости на {:2.2f} от нормальной {}."
138;"{} set all your speeds to {:2.2f} from normal.";"{} установите все ваши скорости на {:2.2f} от нормальной."
139;"You set the speed to {:2.2f} from normal of {}.";"Вы устанавливаете скорость на {: 2.2f} от нормальной {}."
140;"{} set your speed to {:2.2f} from normal.";"{} установите скорость {:2.2f} вместо обычной."
141;"You set the swim speed to {:2.2f} from normal of {}.";"Вы устанавливаете скорость плавания на {:2.2f} по сравнению с обычной {}."
142;"{} set your swim speed to {:2.2f} from normal.";"{} установите скорость плавания на {:2.2f} вместо обычной."
143;"You set the backwards run speed to {:2.2f} from normal of {}.";"Вы устанавливаете скорость обратного хода на {:2.2f} по сравнению с обычной {}."
144;"{} set your backwards run speed to {:2.2f} from normal.";"{} установите скорость бега назад на {:2.2f} по сравнению с обычной."
145;"You set the fly speed to {:2.2f} from normal of {}.";"Вы устанавливаете скорость полета на {:2.2f} от нормальной {}."
146;"{} set your fly speed to {:2.2f} from normal.";"{} установите скорость полета на {:2.2f} вместо обычной."
147;"You set the size {:2.2f} of {}.";"Вы устанавливаете размер {:2.2f} {}."
148;"{} set your size to {:2.2f}.";"{} установите размер {:2.2f}."
149;"There is no such mount.";"Нет такого крепления."
150;"You give a mount to {}.";"Вы даете средство передвижения {}."
151;"{} gave you a mount.";"{} дал вам средство передвижения."
152;"USER1: {}, ADD: {}, DIF: {}";"USER1: {}, ДОБАВИТЬ: {}, DIF: {}"
153;"You take all copper of {}.";"Вы берете всю медь {}."
154;"{} took you all of your copper.";"{} забрал у тебя всю медь."
155;"You take {} copper from {}.";"Вы берете {} меди у {}."
156;"{} took {} copper from you.";"{} взял у вас {} меди."
157;"You give {} copper to {}.";"Вы отдаете {} меди {}."
158;"{} gave you {} copper.";"{} дал вам {} меди."
159;"You hear sound {}.";"Вы слышите звук {}."
160;"USER2: {}, ADD: {}, RESULT: {}";"ПОЛЬЗОВАТЕЛЬ2: {}, ДОБАВИТЬ: {}, РЕЗУЛЬТАТ: {}"
161;"Removed bit {} in field {}.";"Удален бит {} в поле {}."
162;"Set bit {} in field {}.";"Установите бит {} в поле {}."
163;"Teleport location table is empty!";"Таблица местоположения телепорта пуста!"
164;"Teleport location not found!";"Местоположение телепорта не найдено!"
165;"Requires search parameter.";"Требуется параметр поиска."
166;"There are no teleport locations matching your request.";"Нет мест телепорта, соответствующих вашему запросу."
167;"This name is reserved, choose another one";"Это имя зарезервировано, выберите другое"
168;"Locations found are: {}";"Найдены следующие местоположения: {}"
169;"Mail sent to {}";"Письмо отправлено на {}"
170;"You try to hear sound {} but it doesn't exist.";"Вы пытаетесь услышать звук {}, но его нет."
171;"You can't teleport self to self!";"Вы не можете телепортировать себя к себе!"
172;"server console command";"консольная команда сервера"
173;"You changed runic power of {} to {}/{}.";"Вы изменили силу рун {} на {}/{}."
174;"{} changed your runic power to {}/{}.";"{} изменил вашу силу рун на {}/{}."
175;"Liquid level: {}, ground: {}, type: {}, flags {}, status: {}.";"Уровень жидкости: {}, земля: {}, тип: {}, флаги {}, статус: {}."
176;"Invalid gameobject type, must be a destructible building.";"Неверный тип игрового объекта, это должно быть разрушаемое здание."
177;"Gameobject {} (GUID: {}) damaged {} (actual health: {}).";"Игровой объект {} (GUID: {}) поврежден {} (фактическое состояние: {})."
178;"grid[{},{}]cell[{},{}] InstanceID: {}  ZoneX: {} ZoneY: {} GroundZ: {} FloorZ: {} Have height data (Map: {} VMap: {} MMap: {})";"grid[{},{}]cell[{},{}] InstanceID: {} ZoneX: {} ZoneY: {} GroundZ: {} FloorZ: {} Иметь данные о высоте (Map: {} VMap: {} MMap: {})"
186;"TransMapID: {} TransOffsetX: {} TransOffsetY: {} TransOffsetZ: {} TransOffsetO: {} (Transport ID: {} {})";"TransMapID: {} TransOffsetX: {} TransOffsetY: {} TransOffsetZ: {} TransOffsetO: {} (идентификатор транспорта: {} {})"
188;"The provided two-factor authentication secret is too long.";"Предоставленный секрет двухфакторной аутентификации слишком длинный."
189;"The provided two-factor authentication secret is not valid.";"Предоставленный секрет двухфакторной аутентификации недействителен."
190;"Successfully enabled two-factor authentication for '{}' with the specified secret.";" Успешно включена двухфакторная аутентификация для ""{}"" с указанным секретом."
191;"|- {}";"|- {}"
192;"|- {} ...";"|- {} ..."
193;"Subcommand '{}{}{}' does not exist.";"Подкоманда '{}{}{}' не существует."
194;"Command '{}' is ambiguous:";"Команда '{}' неоднозначна:"
195;"### USAGE: .{} ...";"### ПРИМЕНЕНИЕ: .{} ..."
196;"There is no detailed usage information associated with '{}'. This should never occur for stock AzerothCore commands - if it does, report this as a bug.";"Подробная информация об использовании, связанная с '{}', отсутствует. Этого никогда не должно происходить со стандартными командами AzerothCore — если это произойдет, сообщите об этом как об ошибке."
197;"Recover id: {} | Item: {} ({}) | Count: {}";"Восстановить идентификатор: {} | Элемент: {} ({}) | Считать: {}"
198;"Player has no recoverable items";"У игрока нет восстанавливаемых предметов"
199;"Player has no recoverable item with id {}";"У игрока нет восстанавливаемого предмета с идентификатором {}"
200;"No selection.";"Нет выбора."
201;"Object GUID is: {}";"GUID объекта: {}"
202;"The name was too long by {} characters.";"Имя слишком длинное ({} символов)."
203;"Error, name can only contain characters A-Z and a-z.";"Ошибка, имя может содержать только символы AZ и az."
204;"The subname was too long by {} characters.";"Подимя слишком длинное ({} символов)."
205;"Not yet implemented";"Еще не реализовано"
206;"Item '{}' '{}' added to list with maxcount '{}' and incrtime '{}' and extendedcost '{}'";"Элемент '{}' '{}' добавлен в список с maxcount '{}' и incrtime '{}' и extendedcost '{}'"
207;"Item '{}' not found in database.";"Элемент '{}' не найден в базе данных."
208;"Item '{}' '{}' deleted from vendor list";"Товар '{}' '{}' удален из списка поставщиков"
209;"Item '{}' not found in vendor list.";"Товар '{}' не найден в списке поставщиков."
210;"Item '{}' (with extended cost {}) already in vendor list.";"Товар '{}' (с дополнительной стоимостью {}) уже есть в списке поставщиков."
211;"Spells of {} reset.";"Заклинания {} сброшены."
212;"Spells of {} will reset at next login.";"Заклинания {} будут сброшены при следующем входе в систему."
213;"Talents of {} reset.";"Таланты {} сброшены."
214;"Talents of {} will reset at next login.";"Таланты {} будут сброшены при следующем входе в систему."
215;"Your spells have been reset.";"Ваши заклинания были сброшены."
216;"Your talents have been reset.";"Ваши таланты были сброшены."
217;"Unknown case '{}' for .resetall command. Type full correct case name.";"Неизвестный регистр '{}' для команды .resetall. Введите полное правильное название случая."
218;"Spells will reset for all players at login. Strongly recommend re-login!";"Заклинания будут сброшены для всех игроков при входе в систему. Настоятельно рекомендуем повторно войти!"
219;"Talents will reset for all players at login. Strongly recommend re-login!";"Таланты будут сброшены для всех игроков при входе в систему. Настоятельно рекомендуем повторно войти!"
220;"Creature (GUID: {}) No waypoint found.";"Существо (GUID: {}) Путевая точка не найдена."
221;"Creature (GUID: {}) Last waypoint not found.";"Существо (GUID: {}) Последняя путевая точка не найдена."
222;"Creature (GUID: {}) No waypoint found - used 'wpguid'. Now trying to find it by its position...";"Существо (GUID: {}) Путевая точка не найдена — используется «wpguid». Теперь пытаюсь найти его по положению..."
223;"Creature (GUID: {}) No waypoints found - This is a MaNGOS db problem (single float).";"Существо (GUID: {}). Путевые точки не найдены. Это проблема с базой данных MaNGOS (одиночный поплавок)."
224;"Selected creature is ignored - provided GUID is used";"Выбранное существо игнорируется при условии, что используется GUID"
225;"Creature (GUID: {}) not found";"Существо (GUID: {}) не найдено"
226;"You must select a visual waypoint.";"Вы должны выбрать визуальную путевую точку."
227;"No visual waypoints found";"Визуальные путевые точки не найдены"
228;"Could not create visual waypoint with creatureID: {}";"Не удалось создать визуальную путевую точку с идентификатором существа: {}"
229;"All visual waypoints removed";"Все визуальные путевые точки удалены"
230;"Could not create waypoint-creature with ID: {}";"Не удалось создать путевую точку-существо с идентификатором: {}"
231;"No GUID provided.";"GUID не указан."
232;"No waypoint number provided.";"Номер путевой точки не указан."
233;"Argument required for '{}'.";"Требуется аргумент для '{}'."
234;"Waypoint {} added to GUID: {}";"Путевая точка {} добавлена в GUID: {}"
235;"Waypoint {} added.";"Добавлена путевая точка {}."
236;"Waypoint changed.";"Путевая точка изменена."
237;"Waypoint {} modified.";"Путевая точка {} изменена."
238;"WP export successfull.";"Экспорт WP успешно."
239;"No waypoints found inside the database.";"Путевые точки в базе данных не найдены."
240;"File imported.";"Файл импортирован."
241;"Waypoint removed.";"Путевая точка удалена."
242;"Warning: Could not delete WP from the world with ID: {}";"Предупреждение: Не удалось удалить WP из мира с идентификатором: {}"
243;"This happens if the waypoint is too far away from your char.";"Это происходит, если путевая точка находится слишком далеко от вашего персонажа."
244;"The WP is deleted from the database, but not from the world here.";"WP удаляется из базы данных, но не из мира здесь."
245;"They will disappear after a server restart.";"Они исчезнут после перезагрузки сервера."
246;"Waypoint {}: Info for creature: {}, GUID: {}";"Путевая точка {}: Информация о существе: {}, GUID: {}"
247;"Waittime: {}";"Время ожидания: {}"
248;"Model {}: {}";"Модель {}: {}"
249;"Emote: {}";"Эмоция: {}"
250;"Spell: {}";"Орфографии: {}"
251;"Text{} (ID: {}): {}";"Текст{} (идентификатор: {}): {}"
252;"AIScript: {}";"AIScript: {}"
253;"Forced rename for player {} will be requested at next login.";"Принудительное переименование для игрока {} будет запрошено при следующем входе в систему."
254;"Forced rename for player {} (GUID #{}) will be requested at next login.";"Принудительное переименование для игрока {} (GUID #{}) будет запрошено при следующем входе в систему."
255;"Waypoint-Creature (GUID: {}) Not found";"Waypoint-Creature (GUID: {}) Не найдено"
256;"Could not find NPC...";"НПС не нашел..."
257;"Creature movement type set to '{}', waypoints removed (if any).";"Тип движения существа установлен на '{}', путевые точки удалены (если есть)."
258;"Creature movement type set to '{}', waypoints were not removed.";"Тип движения существа установлен на '{}', путевые точки не удалялись."
259;"Incorrect value, use on or off";"Неверное значение, включите или выключите"
260;"Value saved.";"Значение сохранено."
261;"Value saved, you may need to rejoin or clean your client cache.";"Значение сохранено, вам может потребоваться повторное подключение или очистка кеша клиента."
262;"Areatrigger ID {} not found!";"Идентификатор ареального триггера {} не найден!"
263;"Target map or coordinates is invalid (X: {} Y: {} MapId: {})";"Недопустимая карта или координаты цели (X: {} Y: {} MapId: {})"
264;"Zone coordinates is invalid (X: {} Y: {} AreaId: {})";"Координаты зоны недействительны (X: {} Y: {} AreaId: {})"
265;"Zone {} ({}) is part of instanceable map {} ({})";"Зона {} ({}) является частью экземпляра карты {} ({})"
266;"Nothing found!";"Ничего не найдено!"
267;"Object not found!";"Объект не найден!"
268;"Creature not found!";"Существо не найдено!"
269;"Warning: Mob found more than once - you will be teleported to the first one found in DB.";"Внимание: моб найден более одного раза - вы будете телепортированы к первому найденному в БД."
270;"Creature Removed";"Существо удалено"
271;"Creature moved.";"Существо двинулось."
272;"Creature (GUID:{}) must be on the same map as player!";"Существо (GUID:{}) должно находиться на той же карте, что и игрок!"
273;"Game Object (GUID: {}) not found";"Игровой объект (GUID: {}) не найден"
274;"Game Object (GUID: {}) has references in not found creature {} GO list, can't be deleted.";"Игровой объект (GUID: {}) имеет ссылки в списке не найденных существ {} GO, не может быть удален."
275;"Game Object (GUID: {}) removed";"Игровой объект (GUID: {}) удален"
276;"Game Object |cffffffff|Hgameobject:{}|h[{}]|h|r (GUID: {}) turned";"Игровой объект |cffffffff|Hgameobject:{}|h[{}]|h|r (GUID: {}) повернулся"
277;"Game Object |cffffffff|Hgameobject:{}|h[{}]|h|r (GUID: {}) moved";"Игровой объект |cffffffff|Hgameobject:{}|h[{}]|h|r (GUID: {}) перемещен"
278;"You must select a vendor";"Вы должны выбрать поставщика"
279;"You must send id for item";"Вы должны отправить идентификатор для элемента"
280;"Vendor has too many items (max 128)";"У продавца слишком много предметов (максимум 128)"
281;"You can't kick self, logout instead";"Вы не можете кикать себя, вместо этого выйдите из системы"
282;"Player {} kicked.";"Игрок {} исключен."
283;"%s has disabled %s's chat for %s, effective at the player's next login. Reason: %s.";"%s отключил чат %s для %s, вступает в силу при следующем входе игрока в систему. Причина: %s."
284;"Accepting Whisper: {}";"Принятие шепота: {}"
285;"Accepting Whisper: ON";"Прием шепота: ВКЛ."
286;"Accepting Whisper: OFF";"Прием шепота: ВЫКЛ."
287;"Creature (GUID: {}) not found";"Существо (GUID: {}) не найдено"
288;"Tickets count: {} show new tickets: {}";"Количество билетов: {} показать новые билеты: {}"
289;"New ticket from {}";"Новый билет от {}"
290;"Ticket of {} (Last updated: {}): {}";"Билет {} (последнее обновление: {}): {}"
291;"New ticket show: ON";"Новый показ билетов: ВКЛ."
292;"New ticket show: OFF";"Шоу новых билетов: ВЫКЛ."
293;"Ticket {} doesn't exist";"Билет {} не существует"
294;"All tickets deleted.";"Все билеты удалены."
295;"Character {} ticket deleted.";"Билет персонажа {} удален."
296;"Ticket deleted.";"Билет удален."
297;"Wander distance changed to: {}";"Расстояние блуждания изменено на: {}"
298;"Spawn time changed to: %s";"Время появления изменено на: %s"
299;"The honor of {} was set to {}!";"Честь {} была установлена на {}!"
300;"Your chat has been disabled for %s. By: %s, Reason: %s.";"Ваш чат был отключен для %s. Автор: %s, Причина: %s."
301;"%s has disabled %s's chat for %s. Reason: %s.";"%s отключил чат %s для %s. Причина: %s."
302;"Player's chat is already enabled.";"Чат игрока уже включен."
303;"Your chat has been enabled.";"Ваш чат включен."
304;"You have enabled {}'s chat.";"Вы включили чат {}."
305;"Faction {} ({}) reputation of {} was set to {:>5}!";"Репутация фракции {} ({}) {} была установлена на {:>5}!"
306;"The arena points of {} was set to {}!";"Очки арены {} были установлены на {}!"
307;"No faction found!";"Фракция не найдена!"
308;"Faction {} unknown!";"Фракция {} неизвестна!"
309;"Invalid parameter {}";"Неверный параметр {}"
310;"delta must be between 0 and {} (inclusive)";"дельта должна быть между 0 и {} (включительно)"
311;"{} - |cffffffff|Hfaction:{}|h[{}]|h|r";"{} - |cffffffff|Hфракция:{}|h[{}]|h|r"
312;"[visible]";"[видимый]"
313;"[at war]";"[на войне]"
314;"[peace forced]";"[принудительный мир]"
315;"[hidden]";"[скрытый]"
316;"[invisible forced]";"[невидимый принудительный]"
317;"[inactive]";"[неактивный]"
318;"Hated";"Ненавидел"
319;"Hostile";"Враждебный"
320;"Unfriendly";"Недружественный"
321;"Neutral";"Нейтральный"
322;"Friendly";"Дружелюбный"
323;"Honored";"Заслуженный"
324;"Revered";"Почитаемый"
325;"Exalted";"возвышенный"
326;"Faction {} ({}) can't have reputation.";"Фракция {} ({}) не может иметь репутацию."
327;"[no reputation]";"[нет репутации]"
328;"Characters at account {} (Id: {})";"Персонажи в учетной записи {} (идентификатор: {})"
329;"{} (GUID {})";"{} (GUID {})"
330;"No players found!";"Игроки не найдены!"
331;"Extended item cost {} not exist";"Расширенная стоимость товара {} не существует"
332;"GM mode is ON";"Режим GM включен"
333;"GM mode is OFF";"Режим GM выключен"
334;"GM Chat Badge is ON";"Значок чата GM включен"
335;"GM Chat Badge is OFF";"Значок чата GM отключен"
336;"You repair all {}'s items.";"Вы ремонтируете все предметы {}."
337;"All your items repaired by {}.";"Все ваши предметы отремонтированы {}."
338;"You set waterwalk mode {} for {}.";"Вы установили режим хождения по воде {} для {}."
339;"Your waterwalk mode {} by {}.";"Ваш режим хождения по воде {} от {}."
340;"{} is now following you.";"{} теперь следует вам."
341;"{} is not following you.";"{} не следит за вами."
342;"{} is now not following you.";"{} теперь не подписан на вас."
343;"Creature (Entry: {}) cannot be tamed.";"Существо (Запись: {}) нельзя приручить."
344;"You already have pet.";"У вас уже есть питомец."
345;"Forced customize for player {} will be requested at next login.";"Принудительная настройка для игрока {} будет запрошена при следующем входе в систему."
346;"Forced customize for player {} (GUID #{}) will be requested at next login.";"Принудительная настройка для игрока {} (GUID #{}) будет запрошена при следующем входе в систему."
347;"TaxiNode ID {} not found!";"Идентификатор TaxiNode {} не найден!"
348;"Game Object (Entry: {}) have invalid data and can't be spawned";"Игровой объект (запись: {}) имеет недопустимые данные и не может быть создан"
349;"{} (idx:{}) - |cffffffff|Htitle:{}|h[{} {}]|h|r {} {}";"{} (idx:{}) - |cffffffff|Htitle:{}|h[{} {}]|h|r {} {}"
350;"{} (idx:{}) - [{} {}] {} {}";"{} (idx:{}) – [{} {}] {} {}"
351;"No titles found!";"Заголовки не найдены!"
352;"Invalid title id: {}";"Недопустимый идентификатор заголовка: {}"
353;"Title {} ({}) added to known titles list for player {}.";"Титул {} ({}) добавлен в список известных титулов для игрока {}."
354;"Title {} ({}) removed from known titles list for player {}.";"Титул {} ({}) удален из списка известных титулов для игрока {}."
355;"Title {} ({}) set as current seelcted title for player {}.";"Титул {} ({}) установлен как текущий выбранный титул для игрока {}."
356;"Current selected title for player {} reset as not known now.";"Текущий выбранный титул для игрока {} сброшен как неизвестный."
357;"Cheat Command Status:";"Статус чит-команды:"
358;"Godmode: {}.";"Режим бога: {}."
359;"Casttime: {}.";"Время каста: {}."
360;"Cooldown: {}.";"Остывать: {}."
361;"Power: {}.";"Сила: {}."
362;"Waterwalk: {}.";"Водный путь: {}."
