"ID";"content_default";"content_loc8"
"50";"You must be at least level %u and have item %s to enter.";"Вы должны быть как минимум на уровне %u и иметь предмет %s для входа."
"51";"Hello! Ready for some training?";"Привет! Готовы к тренировкам?"
"52";"Invalid item count (%u) for item %u";"Недопустимое количество элементов (%u) для элемента %u"
"53";"Mail can't have more %u item stacks";"Почта не может иметь более %u стеков предметов"
"54";"The new passwords do not match";"Новые пароли не совпадают"
"55";"Your password can't be longer than 16 characters (client limit), password not changed!";"Ваш пароль не может быть длиннее 16 символов (ограничение клиента), пароль не менялся!"
"56";"Current Message of the day:  %s";"Текущее сообщение дня: %s"
"57";"Using World DB: %s";"Использование World DB: %s"
"58";"Using script library: %s";"Использование библиотеки скриптов: %s"
"59";"Using creature EventAI: %s";"Использование EventAI существа: %s"
"60";"Online players: %u (max: %u)";"Онлайн-игроков: %u (макс.: %u)"
"61";"Up to %u expansions are allowed now.";"Теперь разрешено до %u расширений."
"62";"One or more parameters contain incorrect values.";"Один или несколько параметров содержат неверные значения."
"63";"Wrong parameter, id: %u does not exist.";"Неверный параметр, идентификатор: %u не существует."
"64";"Wrong parameter realmId: %d";"Неверный параметр realmId: %d"
"65";"Account %u (%s) granted permissions:";"Аккаунту %u (%s) предоставлены разрешения:"
"66";"Account %u (%s) denied permissions:";"Учетной записи %u (%s) отказано в разрешениях:"
"67";"Account %u (%s) inherited permissions by sec level %u:";"Аккаунт %u (%s) унаследовал разрешения на уровне безопасности %u:"
"68";"Permissions:";"Разрешения: "
"69";"Linked permissions:";"Связанные разрешения: "
"70";"Empty List";"Пустой список"
"71";"- %u (%s)";"- %u (%s)"
"72";"Couldn't grant permission %u (%s) realmId %d. Account %u (%s) already has that permission";"Не удалось предоставить разрешение %u (%s) realmId %d. У учетной записи %u (%s) уже есть это разрешение."
"73";"Couldn't grant permission %u (%s) realmId %d. Account %u (%s) has that permission in deny list";"Не удалось предоставить разрешение %u (%s) realmId %d. Учетная запись %u (%s) имеет это разрешение в списке запрещенных."
"74";"Granted permission %u (%s) realmId %d to account %u (%s)";"Предоставлено разрешение %u (%s) realmId %d для учетной записи %u (%s)"
"75";"Couldn't deny permission %u (%s) realmId %d. Account %u (%s) already has that permission";"Не удалось отклонить разрешение %u (%s) realmId %d. У учетной записи %u (%s) уже есть это разрешение."
"76";"Couldn't deny permission %u (%s) realmId %d. Account %u (%s) has that permission in deny list";"Не удалось отклонить разрешение %u (%s) realmId %d. Учетная запись %u (%s) имеет это разрешение в списке запрещенных."
"77";"Denied permission %u (%s) realmId %d to account %u (%s)";"Отказано в доступе %u (%s) realmId %d к учетной записи %u (%s)"
"78";"Revoked permission %u (%s) realmId %d to account %u (%s)";"Отозвано разрешение %u (%s) realmId %d для учетной записи %u (%s)"
"79";"Couldn't revoke permission %u (%s) realmId %d. Account %u (%s) does not have that permission";"Не удалось отозвать разрешение %u (%s) realmId %d. У учетной записи %u (%s) нет такого разрешения."
"80";"BattleGround victories in the last 7 days Alliance: %d Horde: %d";"Побед в BattleGround за последние 7 дней Альянс: %d Орда: %d"
"81";"BattleGround scores storing is disabled!";"Сохранение очков BattleGround отключено!"
"82";"Nearest graveyard found: %u (%.3f %.3f %.3f)";"Найдено ближайшее кладбище: %u (%.3f %.3f %.3f)"
"83";"There are no graveyards near";"Рядом нет кладбищ"
"84";"Size: %f";"Размер: %f"
"85";"Faction: %u Flags: %u";"Фракция: %u Флаги: %u"
"86";"Model dimensions from center: Max X %f Y %f Z %f Min X %f Y %f Z %f";"Размеры модели от центра: макс. X %f Y %f Z %f мин. X %f Y %f Z %f"
"88";"Two-factor authentication commands are not properly setup.";"Команды двухфакторной аутентификации настроены неправильно."
"89";"Two-factor authentication is already enabled for this account.";"Для этой учетной записи уже включена двухфакторная аутентификация."
"90";"Invalid two-factor authentication token specified.";"Указан недопустимый токен двухфакторной аутентификации."
"91";"In order to complete setup, you'll need to set up the device you'll be using as your second factor.  Your 2FA key: %s  Once you have set up your device, confirm by running .account 2fa setup <token> with the generated token.";"Чтобы завершить настройку, вам нужно настроить устройство, которое вы будете использовать в качестве второго фактора. Ваш ключ 2FA: %s После того, как вы настроили свое устройство, подтвердите, запустив .account 2fa setup <token> со сгенерированным токеном."
"92";"Two-factor authentication has been successfully set up.";"Двухфакторная аутентификация успешно настроена."
"93";"Two-factor authentication is not enabled for this account.";"Для этой учетной записи не включена двухфакторная аутентификация."
"94";"To remove two-factor authentication, please specify a fresh two-factor token from your authentication device.";"Чтобы удалить двухфакторную аутентификацию, укажите новый токен двухфакторной аутентификации с вашего устройства аутентификации."
"95";"Two-factor authentication has been successfully disabled.";"Двухфакторная аутентификация успешно отключена."
"96";"The guild name '%s' is already taken";"Название гильдии '%s' уже занято"
"97";"Changed guild name '%s' to '%s'";"Название гильдии '%s' изменено на '%s'."
"98";"'%s' already exists as character name, choose another one";"'%s' уже существует как имя персонажа, выберите другое"
"99";"Player '%s' forced rename to '%s'";"Игрок '%s' принудительно переименовывается в '%s'"
"100";"Global notify: ";"Глобальное уведомление:"
"101";"Map: %u (%s) Zone: %u (%s) Area: %u (%s) Phase: %u X: %f Y: %f Z: %f Orientation: %f";"Карта: %u (%s) Зона: %u (%s) Область: %u (%s) Фаза: %u X: %f Y: %f Z: %f Ориентация: %f"
"102";"%s is already being teleported.";"%s уже телепортируется."
"103";"You can only summon a player to your instance if that player, or their group leader, is in your instance.";"Вы можете призвать игрока в свой инстанс только в том случае, если этот игрок или лидер его группы находится в вашем инстансе."
"104";"You cannot go to the player's instance because you are in a party now.";"Вы не можете зайти в инстанс игрока, потому что сейчас находитесь в группе."
"105";"You can only teleport to a player's instance if you are in their group, or you have GM mode enabled.";"Вы можете телепортироваться к игроку только в том случае, если вы находитесь в его группе или у вас включен режим GM."
"106";"You can not go to player %s from instance to instance.";"Вы не можете переходить к игроку %s из экземпляра в экземпляр."
"107";"You can not summon player %s from instance to instance.";"Вы не можете призывать игрока %s из инстанса в инстанс."
"108";"You are summoning %s%s.";"Вы вызываете %s%s."
"109";"You are being summoned by %s.";"Вас вызывает %s."
"110";"You are teleporting %s%s to %s.";"Вы телепортируете %s%s в %s."
"111";"You are being teleported by %s.";"Вас телепортирует %s."
"112";"Player (%s) does not exist.";"Игрок (%s) не существует."
"113";"Appearing at %s's location.";"Появление в месте нахождения %s."
"114";"%s is appearing at your location.";"%s появляется в вашем местоположении."
"115";"Incorrect values.";"Неверные значения."
"116";"No character selected.";"Не выбран персонаж."
"117";"%s is not in a group.";"%s не входит в группу."
"118";"You changed HP of %s to %i/%i.";"Вы изменили HP %s на %i/%i."
"119";"%s changed your HP to %i/%i.";"%s изменил ваш HP на %i/%i."
"120";"You changed MANA of %s to %i/%i.";"Вы изменили МАНУ от %s на %i/%i."
"121";"%s changed your MANA to %i/%i.";"%s изменил вашу МАНУ на %i/%i."
"122";"You changed ENERGY of %s to %i/%i.";"Вы изменили ЭНЕРГИЮ %s на %i/%i."
"123";"%s changed your ENERGY to %i/%i.";"%s изменил вашу ЭНЕРГИЮ на %i/%i."
"124";"Current energy: %u";"Текущая энергия: %u"
"125";"You changed rage of %s to %i/%i.";"Вы изменили ярость %s на %i/%i."
"126";"%s changed your rage to %i/%i.";"%s изменил вашу ярость на %i/%i."
"127";"You changed level of %s to %i.";"Вы изменили уровень %s на %i."
"128";"GUID %i, faction is %i, flags is %i, npcflag is %i, dynflag is %i.";"GUID %i, фракция %i, флаги %i, npcflag %i, dynflag %i."
"129";"Wrong faction: %u (not found in factiontemplate.dbc).";"Неверная фракция: %u (не найдено в factiontemplate.dbc)."
"130";"You changed GUID=%i's Faction to %i, flags to %i, npcflag to %i, dynflag to %i.";"Вы изменили GUID=%i Faction на %i, flags на %i, npcflag на %i, dynflag на %i."
"131";"You changed the spellflatid=%i, val= %i, mark =%i to %s.";"Вы изменили заклинание flatid=%i, val= %i, mark =%i на %s."
"132";"%s changed your spellflatid=%i, val= %i, mark =%i.";"%s изменил ваше заклинаниеflatid=%i, val= %i, mark =%i."
"133";"%s has access to all taxi nodes now (until logout).";"%s теперь имеет доступ ко всем узлам такси (до выхода из системы)."
"134";"%s has no more access to all taxi nodes now (only visited accessible).";"%s больше не имеет доступа ко всем узлам такси (доступны только посещенные)."
"135";"%s has given you access to all taxi nodes (until logout).";"%s предоставил вам доступ ко всем узлам такси (до выхода из системы)."
"136";"%s has removed access to all taxi nodes (only visited still accessible).";"%s удалил доступ ко всем узлам такси (по-прежнему доступны только посещенные)."
"137";"You set all speeds of %s from normal to %2.2f.";"Вы установили все скорости %s от нормальной до %2.2f."
"138";"%s set all your speeds from normal to %2.2f.";"%s установил все ваши скорости с нормальной на %2.2f."
"139";"You set the speed of %s from normal to %2.2f.";"Вы установили скорость %s от нормальной до %2.2f."
"140";"%s set your speed from normal to %2.2f.";"%s измените вашу скорость с нормальной на %2.2f."
"141";"You set the swim speed of %s from normal to %2.2f.";"Вы установили скорость плавания %s с нормальной на %2.2f."
"142";"%s set your swim speed from normal to %2.2f.";"%s изменил скорость плавания с нормальной на %2.2f."
"143";"You set the backwards run speed of %s from normal to %2.2f.";"Вы установили скорость обратного хода %s с нормальной на %2.2f."
"144";"%s set your backwards run speed from normal to %2.2f.";"%s изменил скорость бега назад с нормальной на %2.2f."
"145";"You set the fly speed of %s from normal to %2.2f.";"Вы установили скорость полета %s с нормальной на %2.2f."
"146";"%s set your fly speed from normal to %2.2f.";"%s измените скорость полета с нормальной на %2.2f."
"147";"You set the size of %s to %2.2f.";"Вы установили размер %s на %2.2f."
"148";"%s set your size to %2.2f.";"%s установите размер %2.2f."
"149";"There is no such mount.";"Нет такого крепления."
"150";"You give a mount to %s.";"Вы даете средство передвижения %s."
"151";"%s gave you a mount.";"%s дал вам средство передвижения."
"152";"USER1: %i, ADD: %i, DIF: %i ";"ПОЛЬЗОВАТЕЛЬ1: %i, ДОБАВИТЬ: %i, ДИФ: %i"
"153";"You take all the copper from %s.";"Вы забираете всю медь у %s."
"154";"%s took you all of your copper.";"%s забрал у вас всю вашу медь."
"155";"You take %i copper from %s.";"Вы берете %i меди у %s."
"156";"%s took %i copper from you.";"%s забрал у вас %i меди."
"157";"You give %i copper to %s.";"Вы отдаете %i меди %s."
"158";"%s gave you %i copper.";"%s дал вам %i меди."
"159";"You play the sound %u.";"Вы играете звук %u."
"160";"USER2: %i, ADD: %i, RESULT: %i ";"ПОЛЬЗОВАТЕЛЬ2: %i, ДОБАВИТЬ: %i, РЕЗУЛЬТАТ: %i"
"161";"Removed bit %i in field %i.";"Удален бит %i в поле %i."
"162";"Set bit %i in field %i.";"Установите бит %i в поле %i."
"163";"Teleport location table is empty!";"Таблица местоположения телепорта пуста!"
"164";"Teleport location not found!";"Местоположение телепорта не найдено!"
"165";"Requires search parameter.";"Требуется параметр поиска."
"166";"There are no teleport locations matching your request.";"Нет мест телепорта, соответствующих вашему запросу."
"167";"This name is reserved, choose another one";"Это имя зарезервировано, выберите другое"
"168";"The following locations were found: %s";"Были найдены следующие места: %s"
"169";"Mail sent to %s";"Письмо отправлено на %s"
"170";"You tried to play the sound %u, but it does not exist.";"Вы пытались воспроизвести звук %u, но он не существует."
"171";"You can't teleport yourself to yourself!";"Вы не можете телепортироваться к себе!"
"172";"server console command";"консольная команда сервера"
"173";"You changed the runic power of %s to %i/%i.";"Вы изменили силу рун %s на %i/%i."
"174";"%s changed your runic power to %i/%i.";"%s изменил вашу силу рун на %i/%i."
"175";"Liquid level: %f, ground: %f, type: %u, flags %u, status: %d.";"Уровень воды: %f, земля: %f, тип: %u, флаги %u, статус: %d."
"176";"Invalid gameobject type, must be a destructible building.";"Неверный тип игрового объекта, это должно быть разрушаемое здание."
"177";"Gameobject %s (GUID: %u) damaged %u (actual health: %u).";"Игровой объект %s (GUID: %u) поврежден %u (фактическое здоровье: %u)."
"178";"grid[%u,%u]cell[%u,%u] InstanceID: %u  ZoneX: %f ZoneY: %f GroundZ: %f FloorZ: %f MinHeight: %f Have height data (Map: %u VMap: %u MMap: %u)";"grid[%u,%u]cell[%u,%u] InstanceID: %u ZoneX: %f ZoneY: %f GroundZ: %f FloorZ: %f MinHeight: %f Имеются данные о высоте (карта: %u VMap: %u MMap: %u)"
"186";"TransMapID: %u TransOffsetX: %f TransOffsetY: %f TransOffsetZ: %f TransOffsetO: %f (Transport ID: %u %s)";"TransMapID: %u TransOffsetX: %f TransOffsetY: %f TransOffsetZ: %f TransOffsetO: %f (идентификатор транспорта: %u %s)"
"187";"The group's leader is not in your instance - summoning only members that are already in your map.";"Лидер группы не находится в вашем инстансе — вызов только тех участников, которые уже есть на вашей карте."
"188";"The provided two-factor authentication secret is too long.";"Предоставленный секрет двухфакторной аутентификации слишком длинный."
"189";"The provided two-factor authentication secret is not valid.";"Предоставленный секрет двухфакторной аутентификации недействителен."
"190";"Successfully enabled two-factor authentication for '%s' with the specified secret.";"Успешно включена двухфакторная аутентификация для ""%s""с указанным секретом."
"191";"|- %.*s";"|- %.*с"
"192";"|- %.*s ...";"|- %.*s ..."
"193";"Subcommand '%.*s%c%.*s' does not exist.";"Подкоманда '%.*s%c%.*s' не существует."
"194";"Command '%.*s' is ambiguous:";"Команда «%.*s» неоднозначна: "
"195";"### USAGE: .%.*s ...";"### ИСПОЛЬЗОВАНИЕ: .%.*s ..."
"196";"There is no detailed usage information associated with '%.*s'. This should never occur for stock TrinityCore commands - if it does, report this as a bug. If this is a custom command, use `trinity_string` to specify it. Look at cs_achievement.cpp for example usage.";"Подробная информация об использовании, связанная с ""%.*s"", отсутствует. Это никогда не должно происходить для стандартных команд TrinityCore — если это произойдет, сообщите об этом как об ошибке. Если это пользовательская команда, используйте `trinity_string`, чтобы указать ее. Посмотрите на cs_achievement.cpp, например, использование."
"200";"No selection.";"Не выбрано."
"201";"Object GUID is: %s";"GUID объекта: %s"
"202";"The name was too long by %i characters.";"Имя слишком длинное (%i символов)."
"203";"Error, a name can only contain the characters A-Z and a-z.";"Ошибка, имя может содержать только символы AZ и az."
"204";"The subname was too long by %i characters.";"Подимя слишком длинное (%i символов)."
"205";"Not yet implemented";"Еще не реализовано"
"206";"Item '%i' '%s' added to list with maxcount '%i' and incrtime '%i' and extendedcost '%i'";"Элемент '%i' '%s' добавлен в список с maxcount '%i' и incrtime '%i' и extendedcost '%i'"
"207";"Item '%i' not found in database.";"Элемент ""%i""не найден в базе данных."
"208";"Item '%i' '%s' deleted from vendor list";"Товар '%i' '%s' удален из списка поставщиков"
"209";"Item '%i' not found in vendor list.";"Товар '%i' не найден в списке поставщиков."
"210";"Item '%u' (with extended cost %u) is already in the vendor list.";"Товар '%u' (с дополнительной стоимостью %u) уже есть в списке поставщиков."
"211";"Spells of %s reset.";"Заклинания %s сброшены."
"212";"Spells of %s will reset at next login.";"Заклинания %s будут сброшены при следующем входе в систему."
"213";"Talents of %s reset.";"Таланты %s сброшены."
"214";"Talents of %s will reset at next login.";"Таланты %s будут сброшены при следующем входе в систему."
"215";"Your spells have been reset.";"Ваши заклинания были сброшены."
"216";"Your talents have been reset.";"Ваши таланты были сброшены."
"217";"Unknown case '%s' for .resetall command. Type full correct case name.";"Неизвестный случай '%s' для команды .resetall. Введите полное правильное название случая."
"218";"Spells will be reset for all players at login. Relogging is strongly recommended!";"Заклинания будут сброшены для всех игроков при входе в систему. Настоятельно рекомендуется перезайти!"
"219";"Talents will be reset for all players at login. Relogging is strongly recommended!";"Таланты будут сброшены для всех игроков при входе в систему. Настоятельно рекомендуется перезайти!"
"220";"Creature (GUID: %u) No waypoint found.";"Существо (GUID: %u) Путевая точка не найдена."
"221";"Creature (GUID: %u) Last waypoint not found.";"Существо (GUID: %u) Последняя путевая точка не найдена."
"222";"Creature (GUID: %u) No waypoint found - used 'wpguid'. Now trying to find it by its position...";"Существо (GUID: %u) Путевая точка не найдена — используется «wpguid». Теперь пытаюсь найти его по положению..."
"223";"Creature (GUID: %u) No waypoints found - This is a MaNGOS db problem (single float).";"Существо (GUID: %u) Путевые точки не найдены — это проблема с базой данных MaNGOS (один поплавок)."
"224";"Selected creature is ignored - provided GUID is used";"Выбранное существо игнорируется при условии, что используется GUID"
"225";"Creature (GUID: %u) not found";"Существо (GUID: %u) не найдено"
"226";"You must select a visual waypoint.";"Вы должны выбрать визуальную путевую точку."
"227";"No visual waypoints found";"Визуальные путевые точки не найдены"
"228";"Could not create visual waypoint with creatureID: %d";"Не удалось создать визуальную путевую точку с идентификатором существа: %d"
"229";"All visual waypoints removed";"Все визуальные путевые точки удалены"
"230";"Could not create waypoint-creature with ID: %d";"Не удалось создать путевую точку-существо с идентификатором: %d"
"231";"No GUID provided.";"GUID не указан."
"232";"No waypoint number provided.";"Номер путевой точки не указан."
"233";"Argument required for '%s'.";"Требуется аргумент для '%s'."
"234";"Waypoint %i added to GUID: %d";"Путевая точка %i добавлена в GUID: %d"
"235";"Waypoint %d added.";"Добавлена путевая точка %d."
"236";"Waypoint changed.";"Путевая точка изменена."
"237";"Waypoint %s modified.";"Путевая точка %s изменена."
"238";"WP export successfull.";"Экспорт WP успешно."
"239";"No waypoints found in the database.";"Путевые точки в базе не найдены."
"240";"File imported.";"Файл импортирован."
"241";"Waypoint removed.";"Путевая точка удалена."
"242";"Warning: Could not delete WP with ID: %d from the world";"Предупреждение: Не удалось удалить WP с идентификатором: %d из мира."
"243";"This happens if the waypoint is too far away from your char.";"Это происходит, если путевая точка находится слишком далеко от вашего персонажа."
"244";"The WP is deleted from the database, but not from the world here.";"WP удаляется из базы данных, но не из мира здесь."
"245";"They will disappear after a server restart.";"Они исчезнут после перезагрузки сервера."
"246";"Waypoint %d: Info for creature: %s, GUID: %d";"Путевая точка %d: Информация о существе: %s, GUID: %d"
"247";"Waittime: %d";"Время ожидания: %d"
"248";"Model %d: %d";"Модель %d: %d"
"249";"Emote: %d";"Эмоция: %d"
"250";"Spell: %d";"Заклинание: %d"
"251";"Text%d (ID: %i): %s";"Текст%d (ID: %i): %s"
"252";"AIScript: %s";"AIScript: %s"
"253";"Forced rename for player %s will be requested at next login.";"При следующем входе в систему будет запрошено принудительное переименование игрока %s."
"254";"Forced rename for player %s (GUID #%u) will be requested at next login.";"Принудительное переименование игрока %s (GUID #%u) будет запрошено при следующем входе в систему."
"255";"Waypoint-Creature (GUID: %u) Not found";"Waypoint-Creature (GUID: %u) Не найдено"
"256";"Could not find NPC...";"Не можем найти НПС…"
"257";"Creature movement type set to '%s', waypoints removed (if any).";"Тип движения существа установлен на '%s', путевые точки удалены (если есть)."
"258";"Creature movement type set to '%s', waypoints were not removed.";"Тип движения существа установлен на '%s', путевые точки не удалялись."
"259";"Incorrect value, use on or off";"Неверное значение, включите или выключите"
"260";"Value saved.";"Значение сохранено."
"261";"Value saved, you may need to rejoin or clean your client cache.";"Значение сохранено, вам может потребоваться повторное подключение или очистка кеша клиента."
"262";"Areatrigger ID %u not found!";"Идентификатор триггера зоны %u не найден!"
"263";"Invalid target map or coordinates (X: %f Y: %f MapId: %u)";"Недопустимая целевая карта или координаты (X: %f Y: %f MapId: %u)"
"264";"Invalid zone coordinates (X: %f Y: %f AreaId: %u)";"Недопустимые координаты зоны (X: %f Y: %f AreaId: %u)"
"265";"Zone %u (%s) is part of instanceable map %u (%s)";"Зона %u (%s) является частью инстансируемой карты %u (%s)"
"266";"Nothing found!";"Ничего не найдено!"
"267";"Object not found!";"Объект не найден!"
"268";"Creature not found!";"Существо не найдено!"
"269";"Warning: Mob found more than once - you will be teleported to the first one found in DB.";"Внимание: моб найден более одного раза - вы будете телепортированы к первому найденному в БД."
"270";"Creature Removed";"Существо удалено"
"271";"Creature moved.";"Существо двинулось."
"272";"Creature (GUID:%u) must be on the same map as player!";"Существо (GUID:%u) должно находиться на той же карте, что и игрок!"
"273";"Game Object (GUID: %u) not found";"Игровой объект (GUID: %u) не найден"
"274";"Game Object (GUID: %u) is referenced by nonexistent creature %u in GO list, can't be deleted.";"На игровой объект (GUID: %u) ссылается несуществующее существо %u в списке GO, его нельзя удалить."
"275";"Game Object (GUID: %u) removed";"Игровой объект (GUID: %u) удален"
"276";"Game Object |cffffffff|Hgameobject:%d|h[%s]|h|r (GUID: %u) turned";"Игровой объект |cffffffff|Hgameobject:%d|h[%s]|h|r (GUID: %u) повернулся"
"277";"Game Object |cffffffff|Hgameobject:%d|h[%s]|h|r (GUID: %u) moved";"Игровой объект |cffffffff|Hgameobject:%d|h[%s]|h|r (GUID: %u) перемещен"
"278";"You must select a vendor";"Вы должны выбрать поставщика"
"279";"You must send id for item";"Вы должны отправить идентификатор товара"
"280";"Vendor has too many items (max 128)";"У продавца слишком много предметов (максимум 128)"
"281";"You can't kick yourself, log out instead.";"Вы не можете кикать себя, вместо этого выйдите из системы."
"282";"Player %s kicked.";"Игрок %s исключен."
"283";"You have disabled %s's chat for %u minutes, effective at the player's next login. Reason: %s.";"Вы отключили чат %s на %u минут, вступает в силу при следующем входе игрока в систему. Причина: %s."
"284";"Accepting Whisper: %s";"Принятие шепота: %s"
"285";"Accepting Whisper: ON";"Прием шепота: ВКЛ."
"286";"Accepting Whisper: OFF";"Прием шепота: ВЫКЛ."
"287";"Creature (GUID: %u) not found";"Существо (GUID: %u) не найдено"
"288";"%s either isn't dead or has no loot available.";"%s либо жив, либо у него нет добычи."
"289";"LOOT INFO: %s (%d)";"ИНФОРМАЦИЯ О ДОБЫЧЕ: %s (%d)"
"290";"├ %s (%d items):";"├ %s (%d элементов):"
"291";"├─ %dx |c%08x|Hitem:%d:0:0:0:0:0:0:0:0|h[%s]|h|r (#%05d)";"├─ %dx |c%08x|Предмет:%d:0:0:0:0:0:0:0:0:0|h[%s]|h|r (#%05d)"
"292";"├ Money: %01d|TInterface\MoneyFrame\UI-GoldIcon:0:0:2:0|t %02d|TInterface\MoneyFrame\UI-SilverIcon:0:0:2:0|t %02d|TInterface\MoneyFrame\UI-CopperIcon:0:0:2:0|t";"├ Деньги: %01d|TInterface\MoneyFrame\UI-GoldIcon:0:0:2:0|t %02d|TInterface\MoneyFrame\UI-SilverIcon:0:0:2:0|t %02d|TInterface\MoneyFrame\ UI-CopperIcon:0:0:2:0|t"
"293";"├ %s:";"├ %s:"
"294";"├─ %s (%d items):";"├─ %s (%d предметов):"
"295";"├── %dx |c%08x|Hitem:%d:0:0:0:0:0:0:0:0|h[%s]|h|r (#%05d)";"├── %dx |c%08x|Элемент:%d:0:0:0:0:0:0:0:0|h[%s]|h|r (#%05d)"
"296";"Ticket deleted.";"Тикет удален."
"297";"Wander distance changed to: %f";"Расстояние блуждания изменено на: %f"
"298";"Spawn time changed to: %i";"Время появления изменено на: %i"
"299";"%s's honor points were set to %u.";"Очки чести %s были установлены на %u."
"300";"Your chat has been disabled for %u minutes. By: %s ,Reason: %s.";"Ваш чат был отключен на %u минут. Автор: %s ,Причина: %s."
"301";"You have disabled %s's chat for %u minutes. Reason: %s.";"Вы отключили чат %s на %u минут. Причина: %s."
"302";"Player's chat is already enabled.";"Чат игрока уже включен."
"303";"Your chat has been enabled.";"Ваш чат включен."
"304";"You have enabled %s's chat.";"Вы включили чат %s."
"305";"Faction %s (%u) reputation of %s was set to %5d!";"Репутация фракции %s (%u) %s установлена на %5d!"
"306";"The arena points of %s was set to %u!";"Очки арены %s были установлены на %u!"
"307";"No faction found!";"Фракция не найдена!"
"308";"Faction %i unknown!";"Фракция %i неизвестна!"
"309";"Invalid parameter %s";"Неверный параметр %s"
"310";"delta must be between 0 and %d (inclusive)";"дельта должна быть между 0 и %d (включительно)"
"311";"%d - |cffffffff|Hfaction:%d|h[%s]|h|r";"%d - |cffffffff|Hфракция:%d|h[%s]|h|r"
"312";"[visible]";"[видимый]"
"313";"[at war]";"[на войне]"
"314";"[peace forced]";"[принудительный мир]"
"315";"[hidden]";"[скрытый]"
"316";"[invisible forced]";"[невидимый принудительный]"
"317";"[inactive]";"[неактивный]"
"318";"Hated";"Ненавидел"
"319";"Hostile";"Враждебный"
"320";"Unfriendly";"Недружественный"
"321";"Neutral";"Нейтральный"
"322";"Friendly";"Дружелюбный"
"323";"Honored";"Заслуженный"
"324";"Revered";"Почитаемый"
"325";"Exalted";"возвышенный"
"326";"Faction %s (%u) can't have reputation.";"Фракция %s (%u) не может иметь репутацию."
"327";"[no reputation]";"[нет репутации]"
"328";"Characters at account %s (Id: %u)";"Персонажи на учетной записи %s (идентификатор: %u)"
"329";" %s (GUID %u) %s";"%s (GUID %u) %s"
"330";"No players found!";"Игроки не найдены!"
"331";"Extended item cost %u does not exist.";"Предмет с расширенной стоимостью %u не существует."
"332";"GM mode is ON";"Режим GM включен"
"333";"GM mode is OFF";"Режим GM выключен"
"334";"GM Chat Badge is ON";"Значок чата GM включен"
"335";"GM Chat Badge is OFF";"Значок чата GM отключен"
"336";"You repair all of %s's items.";"Вы ремонтируете все предметы %s."
"337";"All your items were repaired by %s.";"Все ваши предметы были отремонтированы %s."
"338";"You set waterwalk mode %s for %s.";"Вы установили режим хождения по воде %s для %s."
"339";"Your waterwalk mode %s by %s.";"Ваш режим хождения по воде %s на %s."
"340";"%s is now following you.";"%s теперь следует за вами."
"341";"%s is not following you.";"%s не следит за вами."
